probe_name,panel,femap_node_id,x_mm,y_mm,z_mm,target_x_mm,target_y_mm,target_z_mm,mapped_entity_name
prop_attach,PANEL_PY,10760,575.0,600.0,155.0,576.11,600.0,157.4,Rect[PANEL_PY]::794A
pcdu_attach,PANEL_MY,23274,325.0,0.0,645.0,322.5,0.0,649.0,Rect[PANEL_MY]::7A7E
