case_id,sun_face,i_prop,i_pcdu,raw_rms_dom_urad,raw_peak_dom_urad,rmse_bcase_test_urad,b_emp_urad,b_pred_insample_urad,a_emp_urad_per_c
22_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5_PROP12p5,MY,1,1,204.29336283310488,293.99483252691806,10.513734262598025,-18.972203170865278,-25.56836140526267,28.61066999217257
23_LTAN06_800km_1213COLD_MX_STTLCT_PROP_HEAT_MX_0p5,MX,1,0,681.9011745600367,847.6181178197927,4.102253975388761,16.945852948079597,16.17771830039513,30.615636643158496
24_LTAN06_800km_1213COLD_MX_STTLCT_PCDU_HEAT_MX_0p5,MX,0,1,709.3792580251697,877.9978333731456,3.5710480101994233,15.409583652710674,16.17771830039513,30.60041231088602
25_LTAN18_693km_SENTINEL1_MY_ALL_HEAT_MY_0p5,MY,1,1,150.9646668082089,152.4084854435854,6.101933938301769,-32.16451963966008,-25.56836140526267,28.768537207116243
