case_number,case_id,sun_face,dominant_axis,intercept_urad,coef_t_sunface_minus_opposite_c_urad,coef_t_prop_attach_minus_py_center_c_urad,coef_t_pcdu_attach_minus_my_center_c_urad,test_rmse_norm_urad,test_rmse_dominant_urad,test_mae_norm_urad,test_p95_error_norm_urad
4,04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,MY,y,4.882062771481312,26.04965859612532,-38.78168048317427,-62.916369938996525,5.271656209115871,2.656763143349387,4.8999423949387895,7.931937933089696
5,05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,PX,x,-34.53318909237056,-24.03842927890434,-28.38223803998981,89.9913547617803,13.810981624396732,2.1481120155155398,10.680237828362989,27.824370454472167
6,06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,PX,x,-48.54233533373017,-24.036710000443477,-28.21343523492113,89.59021075545311,14.07592063736373,2.164488976166468,10.844748683984008,28.52881924320032
8,08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,PY,y,-112.5914092915298,-26.797417643279783,7.818310049360215,-6.874671372497279,4.485787460652375,1.5425088013762935,4.0660163095248905,6.709766677964221
9,09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,MX,x,17.642482818556854,30.15474953051033,-10.426380944050068,-7.34166909031166,13.454804624066808,1.3876228918438906,10.027374576379486,27.82411219029526
10,10_LTAN06_800km_HOT_MY_ALL_HEAT_MY_0p5,MY,y,-23.002509128844224,26.71258514972313,9.181212333413836,2.1555448558308323,3.766410564586101,0.0429365100185312,3.294794131873429,6.463073089807879
11,11_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_Black,MY,y,110.61909664394244,25.94349928043478,-161.51424375040352,2.8258022741761084,8.865521977969404,7.097289020658335,8.299508116066967,14.254144299197874
12,12_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_alodine,MY,y,-22.638905511677148,25.834194212098843,-0.742633740815015,-86.33441772667608,4.732782675604878,0.5982779072003958,4.071263793545087,8.438899107555413
13,13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,MY,y,3.0395900223358456,26.05678836364862,-37.04911721492816,-64.65760506255528,5.284727575875006,2.6974481133594126,4.913184034771838,7.935539676277679
14,14_LTAN06_800km_1213COLD_MY_STTLCT_PCDU_HEAT_MY_0p5,MY,y,14.210343652385472,26.07716562588984,-25.099977770890693,-70.94093621905118,5.294936813348972,2.6369099124646684,4.9133934803595904,8.083436260606181
15,15_LTAN06_800km_1213COLD_MY_STTLCT_HEAT_MY_0p5,MY,y,9.176966480742507,26.08708474859309,-19.25472802151165,-74.1306493219086,5.30758692121726,2.6338840066013414,4.923498996351356,8.142646951407183
