case_name,time_s,thermal_los_x_urad,thermal_los_y_urad,thermal_los_norm_urad,nonthermal_error_x_urad,nonthermal_error_y_urad,nonthermal_error_norm_urad,thermal_plus_nonthermal_error_x_urad,thermal_plus_nonthermal_error_y_urad,thermal_plus_nonthermal_error_norm_urad,bcase_correction_success,bcase_correction_acquisition_time_s,bcase_correction_residual_x_urad,bcase_correction_residual_y_urad,bcase_correction_residual_norm_urad,bcase_correction_pointing_error_x_urad,bcase_correction_pointing_error_y_urad,bcase_correction_pointing_error_norm_urad,bcase_correction_thermal_residual_norm_urad,bcase_correction_scan_index,bcase_correction_with_nonthermal_success,bcase_correction_with_nonthermal_acquisition_time_s,bcase_correction_with_nonthermal_residual_x_urad,bcase_correction_with_nonthermal_residual_y_urad,bcase_correction_with_nonthermal_residual_norm_urad,bcase_correction_with_nonthermal_pointing_error_x_urad,bcase_correction_with_nonthermal_pointing_error_y_urad,bcase_correction_with_nonthermal_pointing_error_norm_urad,bcase_correction_with_nonthermal_thermal_residual_norm_urad,bcase_correction_with_nonthermal_scan_index,bcase_delta_b_with_nonthermal_success,bcase_delta_b_with_nonthermal_acquisition_time_s,bcase_delta_b_with_nonthermal_residual_x_urad,bcase_delta_b_with_nonthermal_residual_y_urad,bcase_delta_b_with_nonthermal_residual_norm_urad,bcase_delta_b_with_nonthermal_pointing_error_x_urad,bcase_delta_b_with_nonthermal_pointing_error_y_urad,bcase_delta_b_with_nonthermal_pointing_error_norm_urad,bcase_delta_b_with_nonthermal_thermal_residual_norm_urad,bcase_delta_b_with_nonthermal_scan_index,bcase_residual_fourier_success,bcase_residual_fourier_acquisition_time_s,bcase_residual_fourier_residual_x_urad,bcase_residual_fourier_residual_y_urad,bcase_residual_fourier_residual_norm_urad,bcase_residual_fourier_pointing_error_x_urad,bcase_residual_fourier_pointing_error_y_urad,bcase_residual_fourier_pointing_error_norm_urad,bcase_residual_fourier_thermal_residual_norm_urad,bcase_residual_fourier_scan_index,bcase_residual_fourier_with_nonthermal_success,bcase_residual_fourier_with_nonthermal_acquisition_time_s,bcase_residual_fourier_with_nonthermal_residual_x_urad,bcase_residual_fourier_with_nonthermal_residual_y_urad,bcase_residual_fourier_with_nonthermal_residual_norm_urad,bcase_residual_fourier_with_nonthermal_pointing_error_x_urad,bcase_residual_fourier_with_nonthermal_pointing_error_y_urad,bcase_residual_fourier_with_nonthermal_pointing_error_norm_urad,bcase_residual_fourier_with_nonthermal_thermal_residual_norm_urad,bcase_residual_fourier_with_nonthermal_scan_index
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,3509.0,14.757355091688948,106.04726255028488,107.06914319126334,180.176697207733,108.96469795024285,210.56340521580373,194.93405229942195,215.01196050052772,290.2230657686502,1.0,0.1,-5.778207946167798,-7.049232578101552,9.114788368872036,-5.778207946167798,-7.049232578101552,9.114788368872036,9.114788368872036,0.0,1.0,8.0,14.398489261565203,-18.084534627858716,23.116377002498236,174.3984892615652,101.91546537214128,201.99404728539997,9.114788368872036,79.0,1.0,8.0,14.398489261565203,-18.084534627858716,23.116377002498236,174.3984892615652,101.91546537214128,201.99404728539997,9.114788368872036,79.0,1.0,0.1,0.27853515638670956,1.8346137696695024,1.8556372267241006,0.27853515638670956,1.8346137696695024,1.8556372267241006,1.8556372267241006,0.0,1.0,4.0,-5.245084722776639,3.9707309727760958,6.5785726572918755,114.75491527722336,-76.0292690272239,137.65587647861858,196.22124596746198,39.0
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,3569.5,15.155951168895808,112.2468420123681,113.26542454599056,230.7671323254181,42.152526816007864,234.58538931201852,245.9230834943139,154.39936882837597,290.37446184186405,1.0,0.1,-5.379611868960939,-6.410525895620836,8.368695604399216,-5.379611868960939,-6.410525895620836,8.368695604399216,8.368695604399216,0.0,1.0,16.0,-14.612479543542861,-4.257999079612972,15.220220582253186,225.38752045645714,35.74200092038703,228.203911025431,8.368695604399216,159.0,1.0,16.0,-14.612479543542861,-4.257999079612972,15.220220582253186,225.38752045645714,35.74200092038703,228.203911025431,8.368695604399216,159.0,1.0,0.1,0.47128193282565434,1.8912254157663142,1.9490613724170802,0.47128193282565434,1.8912254157663142,1.9490613724170802,1.9490613724170802,0.0,1.0,6.7,10.847916065019604,-7.474204581743123,13.173496767504833,170.8479160650196,-167.47420458174312,239.24175978296,218.02219839678077,66.0
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,3630.0,15.598647883682576,117.97294580476884,118.9997216704898,196.6080729863905,83.67137450619074,213.67178867407154,212.2067208700731,201.64432031095959,292.7321716110103,1.0,0.1,-4.936915154174171,-5.779637217637173,7.601140546458232,-4.936915154174171,-5.779637217637173,7.601140546458232,7.601140546458232,0.0,1.0,11.600000000000001,-8.328842167783648,-2.1082627114464287,8.591529754143115,191.67115783221635,77.89173728855357,206.89358492367867,7.601140546458232,115.0,1.0,11.600000000000001,-8.328842167783648,-2.1082627114464287,8.591529754143115,191.67115783221635,77.89173728855357,206.89358492367867,7.601140546458232,115.0,1.0,0.1,0.6364164645547863,1.87349223914228,1.9786356628957156,0.6364164645547863,1.87349223914228,1.9786356628957156,1.9786356628957156,0.0,1.0,6.5,20.6450583798474,10.187086478337733,23.02162388765047,140.6450583798474,-149.81291352166227,205.48708354667878,240.09742139332855,64.0
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,3690.5,16.082869202370823,123.25099066646338,124.29587837915307,123.1248623019448,131.62888329156272,180.2384382795654,139.20773150431563,254.8798739580261,290.41787592955933,1.0,0.1,-4.452693835485924,-5.1608331542869195,6.816207247359886,-4.452693835485924,-5.1608331542869195,6.816207247359886,6.816207247359886,0.0,1.0,3.8000000000000003,-1.327831533541115,6.46805013727581,6.6029394332963385,118.67216846645888,126.46805013727581,173.42794259880992,6.816207247359886,37.0,1.0,3.8000000000000003,-1.327831533541115,6.46805013727581,6.6029394332963385,118.67216846645888,126.46805013727581,173.42794259880992,6.816207247359886,37.0,1.0,0.1,0.7728659561772204,1.7862787996329814,1.9463077187937097,0.7728659561772204,1.7862787996329814,1.9463077187937097,1.9463077187937097,0.0,1.0,3.7,-10.495231258720878,-4.816049222581512,11.547476316856416,69.50476874127912,-124.81604922258151,142.86342786491085,261.99068274585363,36.0
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,3751.0,16.601228255427323,128.10604954784532,129.17724532727811,159.8254506816288,161.20280956291336,227.00334908666585,176.42667893705612,289.3088591107587,338.8598368067953,1.0,0.1,-3.934334782429424,-4.556421154358844,6.019963780299909,-3.934334782429424,-4.556421154358844,6.019963780299909,6.019963780299909,0.0,1.0,6.6000000000000005,-4.108884100800623,-3.353611591445457,5.303738234499273,155.89111589919938,156.64638840855454,220.99803396804538,6.019963780299909,65.0,1.0,6.6000000000000005,-4.108884100800623,-3.353611591445457,5.303738234499273,155.89111589919938,156.64638840855454,220.99803396804538,6.019963780299909,65.0,1.0,0.1,0.8757347900436656,1.6369973806680918,1.856521437206427,0.8757347900436656,1.6369973806680918,1.856521437206427,1.856521437206427,0.0,1.0,3.9000000000000004,-13.108144422824353,2.8099070019287637,13.405932551266602,106.89185557717565,-117.19009299807124,158.61710716574163,283.3806162866685,38.0
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,3811.5,17.143887281104785,132.56250782195607,133.66649300087659,237.8402139147885,160.32812235547678,286.83283315036493,254.9841011958933,292.89063017743285,388.332091267785,1.0,0.1,-3.3916757567519618,-3.9613732432287634,5.214972906076096,-3.3916757567519618,-3.9613732432287634,5.214972906076096,5.214972906076096,0.0,1.0,16.6,-5.551461841963459,-3.6332508877519842,6.634699736696974,234.44853815803654,156.36674911224802,281.8096472308445,5.214972906076096,165.0,1.0,16.6,-5.551461841963459,-3.6332508877519842,6.634699736696974,234.44853815803654,156.36674911224802,281.8096472308445,5.214972906076096,165.0,1.0,0.1,0.9386369984691356,1.4408366165701523,1.7196073884885676,0.9386369984691356,1.4408366165701523,1.7196073884885676,1.7196073884885676,0.0,1.0,10.600000000000001,-16.079723759445073,-18.88574014223809,24.8038040812333,183.92027624055493,-138.8857401422381,230.46890642179764,304.0333784136121,105.0
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,3872.0,17.709186577339402,136.6418404786301,137.78464304347713,281.88978110137003,279.0446201229692,396.6456210636272,299.5989676787094,415.68646060159926,512.4009903987632,1.0,0.1,-2.826376460517345,-3.37921250336359,4.405392268510873,-2.826376460517345,-3.37921250336359,4.405392268510873,4.405392268510873,0.0,1.0,19.8,-0.9365953591473044,-4.334592380394383,4.434625347303796,279.0634046408527,275.6654076196056,392.25986382477066,4.405392268510873,197.0,1.0,19.8,-0.9365953591473044,-4.334592380394383,4.434625347303796,279.0634046408527,275.6654076196056,392.25986382477066,4.405392268510873,197.0,1.0,0.1,0.9642830267470899,1.2047216525938325,1.5431124443477682,0.9642830267470899,1.2047216525938325,1.5431124443477682,1.5431124443477682,0.0,1.0,15.600000000000001,-14.668286892341996,0.2330783436926822,14.67013857706704,225.331713107658,-39.76692165630732,228.813874120541,323.78945972168503,155.0
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,3932.5,18.29048767759429,140.37517042773624,141.56175476483833,132.77883777642288,305.2941106734529,332.91847917043015,151.06932545401716,445.66928110118914,470.57735730736397,1.0,0.1,-2.245075360262458,-2.816844413523228,3.6020793749242426,-2.245075360262458,-2.816844413523228,3.6020793749242426,3.6020793749242426,0.0,1.0,19.0,10.533762416160414,22.477266259929706,24.823127304187278,130.5337624161604,302.4772662599297,329.44128419886755,3.6020793749242426,189.0,1.0,19.0,10.533762416160414,22.477266259929706,24.823127304187278,130.5337624161604,302.4772662599297,329.44128419886755,3.6020793749242426,189.0,1.0,0.1,0.9512666193914541,0.9323261118336177,1.3319685281474323,0.9512666193914541,0.9323261118336177,1.3319685281474323,1.3319685281474323,0.0,1.0,2.0,-8.02413262265324,8.190909160511012,11.466372452596818,71.97586737734676,-31.809090839488988,78.69144645230682,342.5427997778176,19.0
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,3993.0,18.88323594353688,143.78806174691235,145.02269925991988,273.43132614553963,313.0716088638618,415.6663594691244,292.3145620890765,456.8596706107742,542.3730836240987,1.0,0.1,-1.6523270943198654,-2.276444665094715,2.812896219177259,-1.6523270943198654,-2.276444665094715,2.812896219177259,2.812896219177259,0.0,1.0,25.6,-8.221000948780215,-9.204835801232889,12.341550094194162,271.7789990512198,310.7951641987671,412.86493967715586,2.812896219177259,255.0,1.0,25.6,-8.221000948780215,-9.204835801232889,12.341550094194162,271.7789990512198,310.7951641987671,412.86493967715586,2.812896219177259,255.0,1.0,0.1,0.901057859995678,0.6320266886487786,1.100619372092065,0.901057859995678,0.6320266886487786,1.100619372092065,1.100619372092065,0.0,1.0,11.0,6.851903215904457,-0.940425452808654,6.9161389309651815,206.85190321590446,-40.940425452808654,210.86447851712458,360.21846149062196,109.0
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,4053.5,19.48630279585664,146.89775299990552,148.18456678437556,141.90339936849102,235.07764000390824,274.5870928906538,161.38970216434765,381.9753930038138,414.67075713765354,1.0,0.1,-1.0492602420001056,-1.7535868873194147,2.0435297959219274,-1.0492602420001056,-1.7535868873194147,2.0435297959219274,2.0435297959219274,0.0,1.0,14.0,20.854139126490907,-6.675946883411143,21.896652381064232,140.8541391264909,233.32405311658886,272.54357866553676,2.0435297959219274,139.0,1.0,14.0,20.854139126490907,-6.675946883411143,21.896652381064232,140.8541391264909,233.32405311658886,272.54357866553676,2.0435297959219274,139.0,1.0,0.1,0.8192636312735289,0.3186193844560421,0.879039936338865,0.8192636312735289,0.3186193844560421,0.879039936338865,0.879039936338865,0.0,1.0,3.7,-11.878527673430568,-14.388036419636933,18.657840488686105,68.12147232656943,-134.38803641963693,150.66744613440963,376.76074478789224,36.0
