time_s,r_x_urad,r_y_urad,r_norm_urad,r_hat_x_urad,r_hat_y_urad,r_hat_norm_urad
0.0,71.16428472588075,22.030659594704815,74.49634476082691,66.72774219347045,147.89601884430527,162.2523465723481
60.5,56.74134042102614,116.26062379328988,129.36812728635928,49.24085139976225,128.60060854360398,137.70540281469982
121.0,86.65390281755069,41.393252057420085,96.0328078804459,32.33059329540978,109.14014998359791,113.82811428322724
181.5,14.020270431607152,90.52856871604203,91.60780390747581,16.236562435230564,89.54810278271977,91.00817914724854
242.0,-68.61452271986158,44.73920670226451,81.91183885386991,1.187453433513178,69.85787926653296,69.86797078257145
302.5,22.070835691605247,184.23733737245053,185.554623413743,-12.602444903795556,50.10340389345372,51.66403680766492
363.0,26.23506202702687,226.46344061699855,227.97799985009686,-24.93653654244344,30.319668691705633,39.25701420520175
423.5,16.66743018594866,216.16507975676313,216.8066994704067,-35.63893483161547,10.543271654459692,37.16576722081582
484.0,-50.12245861118349,100.39170435385952,112.20853425788316,-44.557161544224726,-9.187074690452866,45.49442807911864
544.5,-117.05829494599205,226.92649750378908,255.33953803710082,-51.56448609614106,-28.830076832002707,59.07681064934281
605.0,-129.40784317677063,176.9824818706216,219.24686717202724,-56.561868329705085,-48.34144754582296,74.40524510928277
665.5,-106.77562336000776,76.04596458593062,131.0878425855077,-59.47947445789282,-67.67355758164119,90.09727119920353
726.0,-123.49571165686349,62.49897835411198,138.4099457876598,-60.27774245483392,-86.77516138424845,105.65668397557086
786.5,-84.07325431237992,153.26903004427973,174.81335092431706,-58.94798024076614,-105.59120521293066,120.93124903342805
847.0,-199.45000573468565,32.60506891066652,202.0974896089396,-55.512487333778715,-124.06272462548338,135.91613550819292
907.5,-122.08318090851868,-43.726358914677434,129.6776677947182,-50.02419811157862,-142.12683676878063,150.67334909202117
968.0,-157.13200604380384,-134.39376649100666,206.76593480307443,-42.56585232641916,-159.7168312928696,165.29161497943414
1028.5,-196.55867194423658,-54.40956560436808,203.9502692955762,-33.248705927217785,-176.76236200582974,179.862194659452
