unix_time_s,elapsed_time_s,utc,tle_age_days,partner_range_m,isl_angle_x_urad_legacy,isl_angle_y_urad_legacy,isl_angle_norm_urad_legacy,stt_los_angle_x_urad,stt_los_angle_y_urad,stt_los_angle_norm_urad,align_sun_dot,align_vel_dot,align_nadir_dot
1781391582.0,0.0,2026-06-13T22:59:42+00:00,0.01919993,694730.5851169089,-81.4250261725438,18.199068452412742,83.43405167996485,-78.54485848446099,775.2338283889885,779.2026587948682,0.9943064259984811,1.0,0.856864920529204
1781391642.0,60.0,2026-06-13T23:00:42+00:00,0.0198943744444444,694926.6797577022,-80.30549241858787,0.6996739094022679,80.30854036882612,-85.40747083566211,774.9755792107331,779.6676115163151,0.9897837805360303,1.0000000000000002,0.8597682018676804
1781391702.0,120.0,2026-06-13T23:01:42+00:00,0.0205888188888888,695177.2941704951,-78.82320525196884,-16.76291397164547,80.5859353176148,-91.52240115108744,776.8736296012368,782.2461161822794,0.9840292171493211,1.0,0.8635117064358891
1781391762.0,180.0,2026-06-13T23:02:42+00:00,0.0212832633333333,695480.1684592506,-76.9319979501996,-34.077471862513555,84.14158542094343,-96.6063789204736,780.8698298670893,786.8230319740157,0.9771165485617406,1.0000000000000002,0.8680799775362982
1781391822.0,240.0,2026-06-13T23:03:42+00:00,0.0219777077777777,695832.5953020398,-74.59234593310386,-51.12736234589303,90.43243473584064,-100.37287805760755,786.9006092833433,793.2762970996073,0.9691358800804768,1.0,0.8734511754232142
1781391882.0,300.0,2026-06-13T23:04:42+00:00,0.0226721522222222,696231.4452377837,-71.76249370843883,-67.80808802910857,98.73090856169135,-102.52954919742287,794.9285404810463,801.5133766381902,0.9601932662440069,1.0,0.8795953404066521
1781391942.0,360.0,2026-06-13T23:05:42+00:00,0.0233665966666666,696673.1763514318,-68.41738110501151,-84.06717560140969,108.38924324335251,-102.81076771426595,804.9198668782595,811.459207880046,0.9504102211960606,1.0,0.8864723562597772
1781392002.0,420.0,2026-06-13T23:06:42+00:00,0.0240610411111111,697153.8982444964,-64.57767130017183,-99.87862543478734,118.93702303864674,-100.99470470589898,816.7984755165021,823.0186389048024,0.939923084079165,1.0,0.8940296733329164
1781392062.0,480.0,2026-06-13T23:07:42+00:00,0.0247554855555555,697669.4597441116,-60.30239433369636,-115.19811826809364,130.02686343554666,-96.87862649703901,830.4615287786127,836.0931880198901,0.9288821850268213,1.0,0.9021998719512436
1781392122.0,540.0,2026-06-13T23:08:42+00:00,0.02544993,698215.4955991404,-55.68632046490857,-129.97409615498034,141.4009616594759,-90.28004559012079,845.8095773615205,850.6140886372788,0.9174507331642799,1.0,0.9108981959788676
1781392182.0,600.0,2026-06-13T23:09:42+00:00,0.0261443744444444,698787.4695220524,-50.871038855237664,-144.16443710016702,152.87657609529037,-81.0507366988517,862.7497355926286,866.5485146167969,0.9058033734206604,1.0000000000000002,0.9200202568124086
1781392242.0,660.0,2026-06-13T23:10:42+00:00,0.0268388188888888,699380.726079342,-46.075142922234775,-157.73895625213038,164.3304509663862,-69.10327433938701,881.2032727819575,883.9086324310096,0.8941243416799205,1.0,0.9294401768924647
1781392302.0,720.0,2026-06-13T23:11:42+00:00,0.0275332633333333,699990.5428899648,-41.63726257166725,-170.6763265762263,175.68172952249932,-54.444561160179866,901.1028705356971,902.7461401344221,0.882605177345354,1.0,0.9390095170580666
1781392362.0,780.0,2026-06-13T23:12:42+00:00,0.0282277077777777,700612.1796302302,-38.03949053847364,-182.966855255058,186.8793005186823,-37.1742115217985,922.3803947868633,923.1291971817582,0.8714419546305172,1.0,0.9485573852836587
1781392422.0,840.0,2026-06-13T23:13:42+00:00,0.0289221522222222,701240.9302119901,-35.912439466293684,-194.61569294218648,197.90141800347874,-17.433614964951733,944.9417975247736,945.1026037632614,0.860831934811198,1.0,0.9578921402172528
1781392482.0,900.0,2026-06-13T23:14:42+00:00,0.0296165966666666,701872.1774579873,-36.09712251881746,-205.6203628206397,208.76478596887463,4.6256086578037126,968.674354930594,968.6853989586389,0.8509696062768572,1.0000000000000002,0.9668050852182175
1781392542.0,960.0,2026-06-13T23:15:42+00:00,0.0303110411111111,702501.460796901,-39.78062764032262,-215.8779789741159,219.51264232705788,28.84449685493916,993.4464171893885,993.8650757649385,0.8420422246800152,1.0000000000000002,0.975076435427832
1781392602.0,1020.0,2026-06-13T23:16:42+00:00,0.0310054855555555,703124.5335763646,-48.70149528141731,-224.99466833577665,230.2052050284095,55.04354502988186,1019.1443454018289,1020.6297020045904,0.8342249498428664,1.0,0.9824836049647029
1781392662.0,1080.0,2026-06-13T23:17:42+00:00,0.03169993,703737.3871942218,66.8219095571824,-231.48547200829836,240.93711077327407,82.99905252687434,1045.6683291116256,1048.957147469551,0.8276757700074681,1.0,0.9888115427513561
1781392722.0,1140.0,2026-06-13T23:18:42+00:00,0.0323943744444444,704336.2800083933,84.29474524239245,-237.30880515729797,251.83540871105527,112.43082333149742,1072.9145331745767,1078.7892683616287,0.8225304523900664,1.0000000000000002,0.9938644630518536
1781392782.0,1200.0,2026-06-13T23:19:42+00:00,0.0330888188888888,704917.7734998148,102.25032478272978,-242.3523118622512,263.039487497888,143.00380333333484,1100.75175574696,1110.0020340286833,0.8188978485186071,1.0,0.9974779413556177
1781392842.0,1260.0,2026-06-13T23:20:42+00:00,0.0337832633333333,705478.7781103738,120.62353676772022,-246.76594663499452,274.6697472256792,174.34727896451068,1128.9871713660812,1142.3699080383349,0.8168558773195079,1.0,0.9995300699403136
