unix_time_s,elapsed_time_s,utc,tle_age_days,partner_range_m,isl_angle_x_urad_legacy,isl_angle_y_urad_legacy,isl_angle_norm_urad_legacy,stt_los_angle_x_urad,stt_los_angle_y_urad,stt_los_angle_norm_urad,align_sun_dot,align_vel_dot,align_nadir_dot
1781391582.0,0.0,2026-06-13T22:59:42+00:00,0.01919993,800000.0,-81.4250261725438,18.199068452412742,83.43405167996485,48.04913630808226,68.20939436604299,83.43405167996485,0.9943064259984811,1.0,0.856864920529204
1781391642.0,60.0,2026-06-13T23:00:42+00:00,0.0198943744444444,800000.0,-80.30549241858787,0.6996739094022679,80.30854036882612,30.746032500129264,74.18991266791181,80.3085403688262,0.9897837805360303,1.0000000000000002,0.8597682018676804
1781391702.0,120.0,2026-06-13T23:01:42+00:00,0.0205888188888888,800000.0,-78.82320525196884,-16.76291397164547,80.5859353176148,13.00051460846366,79.53036898524954,80.58593531761494,0.9840292171493211,1.0,0.8635117064358891
1781391762.0,180.0,2026-06-13T23:02:42+00:00,0.0212832633333333,800000.0,-76.9319979501996,-34.077471862513555,84.14158542094343,-5.134571194078417,83.98477585731146,84.14158542094334,0.9771165485617406,1.0000000000000002,0.8680799775362982
1781391822.0,240.0,2026-06-13T23:03:42+00:00,0.0219777077777777,800000.0,-74.59234593310386,-51.12736234589303,90.43243473584064,-23.582653561826255,87.3034002959503,90.4324347358405,0.9691358800804768,1.0,0.8734511754232142
1781391882.0,300.0,2026-06-13T23:04:42+00:00,0.0226721522222222,800000.0,-71.76249370843883,-67.80808802910857,98.73090856169135,-42.25793803069141,89.23037027162518,98.73090856169149,0.9601932662440069,1.0,0.8795953404066521
1781391942.0,360.0,2026-06-13T23:05:42+00:00,0.0233665966666666,800000.0,-68.41738110501151,-84.06717560140969,108.38924324335251,-61.092311223803094,89.53188013328365,108.38924324335274,0.9504102211960606,1.0,0.8864723562597772
1781392002.0,420.0,2026-06-13T23:06:42+00:00,0.0240610411111111,800000.0,-64.57767130017183,-99.87862543478734,118.93702303864674,-80.00042417106155,88.01106510971162,118.93702303864708,0.939923084079165,1.0,0.8940296733329164
1781392062.0,480.0,2026-06-13T23:07:42+00:00,0.0247554855555555,800000.0,-60.30239433369636,-115.19811826809364,130.02686343554666,-98.83827228854045,84.48657376117602,130.02686343554666,0.9288821850268213,1.0,0.9021998719512436
1781392122.0,540.0,2026-06-13T23:08:42+00:00,0.02544993,800000.0,-55.68632046490857,-129.97409615498034,141.4009616594759,-117.4129096115452,78.79365846802395,141.4009616594756,0.9174507331642799,1.0,0.9108981959788676
