case_name,time_s,thermal_los_x_urad,thermal_los_y_urad,thermal_los_norm_urad,nonthermal_error_x_urad,nonthermal_error_y_urad,nonthermal_error_norm_urad,thermal_plus_nonthermal_error_x_urad,thermal_plus_nonthermal_error_y_urad,thermal_plus_nonthermal_error_norm_urad,thermal_plus_nonthermal_no_correction_success,thermal_plus_nonthermal_no_correction_acquisition_time_s,thermal_plus_nonthermal_no_correction_residual_x_urad,thermal_plus_nonthermal_no_correction_residual_y_urad,thermal_plus_nonthermal_no_correction_residual_norm_urad,thermal_plus_nonthermal_no_correction_pointing_error_x_urad,thermal_plus_nonthermal_no_correction_pointing_error_y_urad,thermal_plus_nonthermal_no_correction_pointing_error_norm_urad,thermal_plus_nonthermal_no_correction_thermal_residual_norm_urad,thermal_plus_nonthermal_no_correction_scan_index,sunface_correction_success,sunface_correction_acquisition_time_s,sunface_correction_residual_x_urad,sunface_correction_residual_y_urad,sunface_correction_residual_norm_urad,sunface_correction_pointing_error_x_urad,sunface_correction_pointing_error_y_urad,sunface_correction_pointing_error_norm_urad,sunface_correction_thermal_residual_norm_urad,sunface_correction_scan_index,sunface_correction_with_nonthermal_success,sunface_correction_with_nonthermal_acquisition_time_s,sunface_correction_with_nonthermal_residual_x_urad,sunface_correction_with_nonthermal_residual_y_urad,sunface_correction_with_nonthermal_residual_norm_urad,sunface_correction_with_nonthermal_pointing_error_x_urad,sunface_correction_with_nonthermal_pointing_error_y_urad,sunface_correction_with_nonthermal_pointing_error_norm_urad,sunface_correction_with_nonthermal_thermal_residual_norm_urad,sunface_correction_with_nonthermal_scan_index
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,0.0,21.55356735336101,93.75926158199714,96.2047576685126,-59.32788207024958,-29.71000979633892,66.35120400595603,-37.77431471688857,64.04925178565821,74.35862765431585,1.0,0.2,2.2256852831114315,24.049251785658214,24.1520224086813,-37.77431471688857,64.04925178565821,74.35862765431585,96.2047576685126,1.0,1.0,0.1,1.018004315504264,-4.242669399456062,4.363092529326667,1.018004315504264,-4.242669399456062,4.363092529326667,4.363092529326667,0.0,1.0,0.30000000000000004,-18.309877754745315,6.047320804205015,19.28267907482485,-58.309877754745315,-33.952679195794985,67.4746342587043,4.363092529326667,2.0
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,60.5,21.14152053887399,100.82366874518635,103.01638738538009,-54.7559102898892,41.23127256290135,68.54361785630122,-33.61438975101521,142.0549413080877,145.97785293796247,1.0,3.0,6.38561024898479,22.054941308087706,22.9607590108675,-33.61438975101521,142.0549413080877,145.97785293796247,103.01638738538009,29.0,1.0,0.1,0.6059575010172438,-4.589294630725931,4.629126235117046,0.6059575010172438,-4.589294630725931,4.629126235117046,4.629126235117046,0.0,1.0,0.2,-14.149952788871957,-3.358022067824578,14.542952799734383,-54.14995278887196,36.64197793217542,65.38235185292046,4.629126235117046,1.0
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,121.0,20.71695554220645,107.62171765330712,109.59756547289687,-5.017437995493012,-56.30725341985047,56.53035885014245,15.699517546713437,51.31446423345665,53.66236195664764,1.0,0.4,15.699517546713437,11.314464233456647,19.35179454442747,15.699517546713437,51.31446423345665,53.66236195664764,109.59756547289687,3.0,1.0,0.1,0.18139250434970222,-4.873387169665278,4.876761809448193,0.18139250434970222,-4.873387169665278,4.876761809448193,4.876761809448193,0.0,1.0,0.5,-4.8360454911433095,-21.180640589515747,21.725719131357874,-4.8360454911433095,-61.18064058951575,61.371476427864344,4.876761809448193,4.0
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,181.5,20.281509433934016,114.15083898734044,115.93857712785885,-57.00340936097021,-28.84252433795715,63.88489562455273,-36.72189992703619,85.30831464938328,92.8762966669615,1.0,1.2000000000000002,3.2781000729638095,5.308314649383277,6.238921742194114,-36.72189992703619,85.30831464938328,92.8762966669615,115.93857712785885,11.0,1.0,0.1,-0.25405360392273124,-5.109268628196375,5.1155810177083305,-0.25405360392273124,-5.109268628196375,5.1155810177083305,5.1155810177083305,0.0,1.0,0.30000000000000004,-17.257462964892937,6.048207033846467,18.286629987751194,-57.25746296489294,-33.95179296615353,66.56681839169302,5.1155810177083305,2.0
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,242.0,19.85013432196439,120.43273510521972,122.05765652970751,-118.22194848546252,-94.91946203697307,151.61178508640984,-98.37181416349813,25.513273068246647,101.62647747744055,1.0,2.5,-18.37181416349813,-14.486726931753353,23.396341869046502,-98.37181416349813,25.513273068246647,101.62647747744055,122.05765652970751,24.0,1.0,0.1,-0.6854287158923569,-5.303275355970058,5.347386466846135,-0.6854287158923569,-5.303275355970058,5.347386466846135,5.347386466846135,0.0,1.0,2.7,1.0926227986451238,19.77726260705687,19.807421356870485,-118.90737720135488,-100.22273739294313,155.51064736358128,5.347386466846135,26.0
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,302.5,19.42862186340371,126.47931038316824,127.96283563016623,-5.402633570166675,26.0398171740596,26.594370230406682,14.025988293237035,152.51912755722785,153.16269982740562,1.0,5.800000000000001,14.025988293237035,-7.480872442772153,15.896282587669676,14.025988293237035,152.51912755722785,153.16269982740562,127.96283563016623,57.0,1.0,0.1,-1.1069411744530377,-5.45404712932617,5.565244725311773,-1.1069411744530377,-5.45404712932617,5.565244725311773,5.565244725311773,0.0,1.0,0.1,-6.509574744619712,20.585770044733437,21.590472243340006,-6.509574744619712,20.585770044733437,21.590472243340006,5.565244725311773,0.0
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,363.0,19.016999783808068,132.2970440632818,133.6568522323464,21.565946537472048,51.76530003368983,56.0779487645102,40.58294632128012,184.06234409697163,188.48321423030723,1.0,6.0,0.5829463212801187,24.06234409697163,24.06940443497843,40.58294632128012,184.06234409697163,188.48321423030723,133.6568522323464,59.0,1.0,0.1,-1.5185632540486793,-5.560825749878944,5.764444238351485,-1.5185632540486793,-5.560825749878944,5.764444238351485,5.764444238351485,0.0,1.0,0.4,20.047383283423372,6.204474283810896,20.985544492601413,20.047383283423372,46.204474283810896,50.36616940323957,5.764444238351485,3.0
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,423.5,18.61802564316988,137.9103342535157,139.1613853508442,35.35598608142259,27.228727953873637,44.6256582895514,53.97401172459247,165.13906220738934,173.73572979782384,1.0,6.0,13.974011724592472,5.139062207389344,14.889021594801498,53.97401172459247,165.13906220738934,173.73572979782384,139.1613853508442,59.0,1.0,0.1,-1.9175373946868675,-5.617628865162601,5.9358827251496935,-1.9175373946868675,-5.617628865162601,5.9358827251496935,5.9358827251496935,0.0,1.0,0.6000000000000001,-6.561551313264275,-18.38890091128897,19.524488017917513,33.438448686735725,21.61109908871103,39.81418659721111,5.9358827251496935,5.0
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,484.0,18.23152981614081,143.32805216474236,144.4829374589814,-7.736500021837292,-100.28157336698688,100.5795575131759,10.495029794303518,43.04647879775548,44.30739201610642,1.0,0.4,10.495029794303518,3.0464787977554835,10.928251619014464,10.495029794303518,43.04647879775548,44.30739201610642,144.4829374589814,3.0,1.0,0.1,-2.3040332217159367,-5.631862041334784,6.084935426066436,-2.3040332217159367,-5.631862041334784,6.084935426066436,6.084935426066436,0.0,1.0,3.3000000000000003,-10.040533243553229,14.08656459167834,17.298659191117196,-10.040533243553229,-105.91343540832166,106.38828933584571,6.084935426066436,32.0
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,544.5,17.85770260806896,148.55870339121768,149.62815876604918,-50.936486800872586,17.24237916512828,53.775694573752524,-33.078784192803624,165.80108255634596,169.06863973111726,1.0,5.6000000000000005,6.921215807196376,5.8010825563459605,9.03082427441296,-33.078784192803624,165.80108255634596,169.06863973111726,149.62815876604918,55.0,1.0,0.1,-2.6778604297877884,-5.610276767373847,6.216602117552481,-2.6778604297877884,-5.610276767373847,6.216602117552481,6.216602117552481,0.0,1.0,0.9,-13.614347230660371,11.632102397754437,17.90687735784311,-53.61434723066037,11.632102397754437,54.86168093634813,6.216602117552481,8.0
