case_number,case_id,sun_face,dominant_axis,intercept_urad,coef_t_sunface_c_urad,coef_t_sunface_minus_ref_c_urad,coef_t_sunface_minus_opposite_c_urad,test_rmse_norm_urad,test_rmse_dominant_urad,test_mae_norm_urad,test_p95_error_norm_urad
4,04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,MY,y,-839.609797386001,4.654098374988221,4.6541007348536745,19.46581328906063,9.656091780062711,8.039515135558217,8.576147680985406,16.677260837959466
5,05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,PX,x,106.57171956173924,-3.176397275023504,-3.176397807223662,-21.732790134377964,14.105576505080228,3.74755466508864,11.12742819476826,27.898367476475173
6,06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,PX,x,55.935311813114446,-3.2043199015044697,-3.2043214689419037,-21.658278902863035,14.416402345232305,3.953254951517106,11.317107842796814,28.582046437569407
8,08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,PY,y,-66.58308503107385,-0.0858886356763502,-0.0858888468897726,-28.014671542043654,4.873177407924857,1.1319335328330635,4.1388421716750745,8.952311746783112
9,09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,MX,x,27.19809985706395,1.0987649706227114,1.0987651210815323,28.11020885160306,12.851107094383854,0.5188262168347263,9.092211241035884,28.095291407027783
10,10_LTAN06_800km_HOT_MY_ALL_HEAT_MY_0p5,MY,y,19.819208133317392,-0.233826625578927,-0.2338288482611975,29.35529570542584,3.6814139586257566,0.0662152779517482,3.226982867245378,6.311368766126972
11,11_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_Black,MY,y,-810.4110831091418,4.481671844854062,4.481666207611579,19.81542325957626,9.424967286760396,7.817937731150587,8.39599849003044,16.068452250664166
12,12_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_alodine,MY,y,-810.4110831091418,4.481671844854062,4.481666207611579,19.81542325957626,9.424967286760396,7.817937731150587,8.39599849003044,16.068452250664166
13,13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,MY,y,-784.3274204187102,4.453728398820911,4.453730974053415,19.85150965843863,9.428151175895502,7.817078261331956,8.409651276629662,16.129396384364913
14,14_LTAN06_800km_1213COLD_MY_STTLCT_PCDU_HEAT_MY_0p5,MY,y,-724.2191354292131,4.463738974379181,4.463734186514939,19.851426547568604,9.600797618141366,7.994504329538392,8.5751698561742,16.44372715254754
15,15_LTAN06_800km_1213COLD_MY_STTLCT_HEAT_MY_0p5,MY,y,-697.7969104773827,4.435041606566052,4.43504641565226,19.888875306000145,9.608315994486029,7.9986984721519265,8.593450180753534,16.35566903725527
