feature,coef_dominant_axis_urad
intercept,-533.4708364660465
t_sunface_minus_opposite_c,262.3172901669358
t_prop_attach_minus_ref_c,239.6290302649744
t_pcdu_attach_minus_ref_c,-235.6821881758956
