case_index,rel_dx_um,rel_dy_um,rel_dz_um,rel_axial_um,rel_transverse_um,stt_rx_urad,stt_ry_urad,stt_rz_urad,lct_rx_urad,lct_ry_urad,lct_rz_urad,rel_rx_urad,rel_ry_urad,rel_rz_urad,centerline_angle_x_urad,centerline_angle_y_urad,centerline_angle_z_urad,centerline_angle_magnitude_urad,stt_rotation_angle_x_urad,stt_rotation_angle_y_urad,stt_rotation_angle_z_urad,stt_rotation_angle_magnitude_urad,lct_rotation_angle_x_urad,lct_rotation_angle_y_urad,lct_rotation_angle_z_urad,lct_rotation_angle_magnitude_urad,relative_rotation_angle_x_urad,relative_rotation_angle_y_urad,relative_rotation_angle_z_urad,relative_rotation_angle_magnitude_urad,far_field_los_angle_x_urad,far_field_los_angle_y_urad,far_field_los_angle_z_urad,far_field_los_angle_magnitude_urad,global_los_angle_x_urad,global_los_angle_y_urad,global_los_angle_z_urad,global_los_angle_magnitude_urad,stt_relative_los_angle_x_urad,stt_relative_los_angle_y_urad,stt_relative_los_angle_z_urad,stt_relative_los_angle_magnitude_urad
1.0,38.157563267304795,-181.40697284252383,761.8493339975885,-761.8493339975885,185.37661511201068,-13.313418094185181,-19.96375976887066,-18.491547962184995,-471.88522876240313,-53.46233592717908,-16.494426745339297,-458.57181066821795,-33.498576158308424,1.9971212168456987,42.433211300309225,-201.73406661352527,0.02124860576380172,206.14851698153672,19.96363667296812,-13.313602672550967,0.00028789937100981433,23.995808078346393,53.45844217706383,-471.8856519186043,0.11276694311668223,474.90406770909493,33.49903288970077,-458.5717610597577,0.10570512820606837,459.79369857142757,33.49903288970077,-458.5717610597577,0.10570512820606837,459.79369857142757,95.89164413140688,-673.6196528785832,0.2314793489111011,680.410643772191,75.93223705761785,-660.3057656500918,0.22088472884096433,664.657361935703
2.0,37.41821456060279,-186.1813543655444,760.3261317967736,-760.3261317967736,189.90423769440144,-14.012461178936064,-20.659919755416922,-18.949689547298476,-481.4458661712706,-50.901966460514814,-16.91903526079841,-467.43340499233454,-30.24204670509789,2.0306542865000665,41.610946240003706,-207.04307830744727,0.022299153856764065,211.18311277659544,20.659786986146166,-14.012656926165798,0.00031159064217689547,24.963600550468612,50.89789166996475,-481.44627794740444,0.11719056380865567,484.12923267022086,30.242520196998356,-467.4333571932941,0.10970428265810739,468.4106675182147,30.242520196998356,-467.4333571932941,0.10970428265810739,468.4106675182147,92.5088284927523,-688.4892861680013,0.2412877193602725,694.6764574370038,71.85345939268588,-674.4763693769271,0.23004067273291184,678.292925272391
3.0,36.8311020793044,-190.98388293059543,766.7918842173549,-766.7918842173549,194.50288846087486,-14.496240510197822,-21.247731638140976,-19.349556168890558,-491.8330814689398,-49.70770896761678,-17.30044823489152,-477.33684095874196,-28.459977329475805,2.0491079339990392,40.958341935464894,-212.38525972942756,0.023392542458644527,216.2985999132654,21.247591386565635,-14.496446074778085,0.00033080349570724366,25.72172405826264,49.70345247432172,-491.8334913956259,0.12218531564300861,494.3385645954384,28.460465302188883,-477.3367936082848,0.11433021285256473,478.18449642105224,28.460465302188883,-477.3367936082848,0.11433021285256473,478.18449642105224,90.66178475485486,-704.2186761300237,0.2520717831133723,710.0306352723513,69.41880011910362,-689.7219826101785,0.24026772049712264,693.2065948227062
4.0,36.2484461220447,-190.54615040658973,787.2176845182821,-787.2176845182821,193.96336066647612,-13.982647033117246,-21.112184185767546,-19.188208170817234,-492.3228407278657,-50.098737119697034,-17.170537830679677,-478.34019369474845,-28.986552933929488,2.017670340137556,40.31131006102987,-211.90328887792867,0.023264003057299476,215.70351308247018,21.112050031241164,-13.982849583262668,0.00032061930888005463,25.322692174999464,50.09450834854679,-492.32325072050287,0.12244582892062539,494.86527759248355,28.98703439085289,-478.34014614333466,0.11482477835222937,479.21763696174963,28.98703439085289,-478.34014614333466,0.11482477835222937,479.21763696174963,90.40580879543525,-704.2264647079692,0.25205409370787635,710.0057210044447,69.29833734669978,-690.2433642503677,0.24061910963713018,693.7133135890379
5.0,34.672651963774115,-185.7025381468702,787.4998134695943,-787.4998134695943,188.91168695554757,-13.090898391965311,-20.284911443013698,-18.630296835908666,-482.60175390169024,-46.472661779262125,-16.616007997072302,-469.51085550972493,-26.187750336248428,2.0142888388363644,38.55890703412779,-206.51685114504636,0.02206799976089968,210.08569470226132,20.284789496205004,-13.091087346902212,0.00029142455115760413,24.142271078537167,46.468650499226534,-482.60212106747275,0.11753207818099298,484.8341394106266,26.188222236326798,-469.51081183103304,0.11056311877144509,470.2406037446521,26.188222236326798,-469.51081183103304,0.11056311877144509,470.2406037446521,85.02754890669318,-689.1189022964115,0.24105730189738495,694.3446878714427,64.7471229270701,-676.027596744519,0.23060277742903423,679.1211243125214
6.0,33.716073630785104,-183.51481776335277,782.0349712801544,-782.0349712801544,186.58633915641602,-12.971522664884105,-19.857166989822872,-18.40615368564613,-477.65832277946174,-43.91698894323781,-16.397749277530238,-464.68680011457764,-24.05982195341494,2.0084044081158936,37.49488357238864,-204.0826817854118,0.021527803872878337,207.49845131670895,19.857047608932433,-12.971705409950044,0.0002812836630283755,23.718505032694125,43.913070996520396,-477.6586645108399,0.115043085391342,479.672969414188,24.060287724689687,-464.6867591849075,0.10825634666478123,465.3092322393432,24.060287724689687,-464.6867591849075,0.10825634666478123,465.3092322393432,81.40794649907164,-681.7412787163471,0.23569924012534216,686.5846086674211,61.55516540399267,-668.7693769445758,0.22552078449145085,671.596246212521
7.0,35.15386833896628,-185.85358338896185,778.0798067926753,-778.0798067926753,189.149012468242,-13.658885109180119,-20.17525548581034,-18.715169062488712,-481.95841372944415,-46.3512224087026,-16.692418284947053,-468.299528620264,-26.175966922892258,2.0227507775416598,39.09365060151495,-206.68266098026953,0.022123018306174913,210.3474170681408,20.175127668461226,-13.659073898694984,0.0002968030266004007,24.36403242915097,46.347198069871645,-481.9587817329441,0.11721617187987476,484.18212488528695,26.176439589743353,-468.29948497604335,0.10999481281359635,469.0305039316984,26.176439589743353,-468.29948497604335,0.10999481281359635,469.0305039316984,85.44084000560049,-688.6413728681742,0.24076356774926921,693.9215211871054,65.27008380701429,-674.9820799344839,0.22993052228859057,678.1305125658753
8.0,37.8854001610307,-186.66365212993696,773.2388633030496,-773.2388633030496,190.46947937096783,-14.05468810844468,-20.05958231166005,-18.906845070887357,-483.427633298561,-52.26409848546609,-16.864210920175537,-469.3729451901163,-32.20451617380604,2.0426341507118195,42.131085226230454,-207.582398578309,0.022432740554023667,211.81473164504837,20.05944944354643,-14.054877737920263,0.00029996050088243464,24.49328683958284,52.260020110784424,-483.42805492225483,0.11821690393265527,486.2445824766526,32.204994364310274,-469.3728949829674,0.11067404415143756,470.47643533624193,32.204994364310274,-469.3728949829674,0.11067404415143756,470.47643533624193,94.39109565693201,-691.0103826354288,0.2432025434373486,697.4274355438548,74.33607224685186,-676.955226684612,0.23189714237759063,681.0243979276393
9.0,39.54565454478143,-180.20946663455106,766.6622953479418,-766.6622953479418,184.49745434039073,-13.287412002682686,-18.914410247816704,-18.35260627558455,-469.97907338663936,-56.8387440580409,-16.34046930121258,-456.69166138395667,-37.9243338102242,2.0121369743719697,43.97707697690185,-200.40344956687275,0.021047763199000258,205.17194227704348,18.914288315765397,-13.287585565093854,0.0002671550758392982,23.11515158162693,56.834902093240174,-469.9795201970145,0.1120554840028376,473.4035862776751,37.92479194589291,-456.6916072445432,0.10500276248492924,458.2635856924957,37.92479194589291,-456.6916072445432,0.10500276248492924,458.2635856924957,100.81196932314205,-670.3829049479511,0.2297881726009976,677.9205649670645,81.90186129032814,-657.0949955764752,0.21924089799174595,662.1795436997945
10.0,40.08738164884562,-170.70240210159682,759.8355671802892,-759.8355671802892,175.3462524570042,-12.005122698610649,-17.876896890811622,-17.517584637971595,-450.1390503719449,-58.874669775832444,-15.564812201773748,-438.13392767333426,-40.99777288502082,1.9527724361978471,44.57917080696371,-189.82959792948265,0.019011289653647623,194.9937914906664,17.876791738127267,-12.00527927711383,0.00023185320330298964,21.533843441658856,58.87116458636264,-450.1394930787206,0.10304569397767693,453.9728816228147,40.998199349767006,-438.1338735031964,0.09682107637853932,440.0478876904628,40.998199349767006,-438.1338735031964,0.09682107637853932,440.0478876904628,103.45032628201908,-639.9690346434268,0.21013118967072586,648.2764343320647,85.5773628827883,-627.9634180567675,0.20083078988708536,633.767733050138
