case_id,model,uses_nonthermal_error,success_rate,mean_acquisition_time_s,median_acquisition_time_s,p95_acquisition_time_s,mean_initial_error_urad,p95_initial_error_urad,mean_thermal_residual_urad,p95_thermal_residual_urad,mean_nonthermal_error_urad,p95_nonthermal_error_urad,mean_uncorrected_total_error_urad,p95_uncorrected_total_error_urad
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,thermal_plus_nonthermal_no_correction,True,0.9700996677740864,22.890068493150686,20.400000000000002,61.1,319.47436197931415,583.5001546745294,149.79719263540974,224.31500051777888,315.7672922145422,520.9366555037482,319.47436197931415,583.5001546745294
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,sunface_correction,False,1.0,0.09999999999999998,0.1,0.1,5.89713796861158,8.882875006520951,5.89713796861158,8.882875006520951,0.0,0.0,149.79719263540974,224.31500051777888
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,sunface_correction_with_nonthermal,True,0.9767441860465116,23.394897959183673,20.200000000000003,59.30999999999998,314.06449209851223,514.6777436305078,5.89713796861158,8.882875006520951,315.7672922145422,520.9366555037482,319.47436197931415,583.5001546745294
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,thermal_plus_nonthermal_no_correction,True,0.9833887043189369,211.29391891891893,203.8,340.3,1116.8144890899437,1329.4057037382927,920.4326400895064,1019.4624863637553,319.8551596426529,528.8359217756113,1116.8144890899437,1329.4057037382927
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,sunface_correction,False,1.0,0.13588039867109636,0.1,0.4,11.471219929696211,28.265071527459853,11.471219929696211,28.265071527459853,0.0,0.0,920.4326400895064,1019.4624863637553
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,sunface_correction_with_nonthermal,True,0.9634551495016611,25.240689655172414,20.3,66.43000000000009,321.06457095593754,537.6274045081014,11.471219929696211,28.265071527459853,319.8551596426529,528.8359217756113,1116.8144890899437,1329.4057037382927
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,thermal_plus_nonthermal_no_correction,True,0.9933554817275747,198.15083612040135,170.70000000000002,388.3,1079.8933520126018,1360.5405656291935,885.4164017144143,1002.9762899637149,315.2134970543582,536.1682535766564,1079.8933520126018,1360.5405656291935
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,sunface_correction,False,1.0,0.13887043189368772,0.1,0.4,11.647843312681761,28.855705163097944,11.647843312681761,28.855705163097944,0.0,0.0,885.4164017144143,1002.9762899637149
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,sunface_correction_with_nonthermal,True,0.9800664451827242,25.43457627118644,20.200000000000003,70.56,316.4205589017286,539.3962368091974,11.647843312681761,28.855705163097944,315.2134970543582,536.1682535766564,1079.8933520126018,1360.5405656291935
08_LTAN06_800km_1213COLD_PY_ALL_HEAT_PY_0p5,thermal_plus_nonthermal_no_correction,True,0.9601328903654485,380.35328719723185,377.70000000000005,542.14,1267.9710377121894,1517.7136450819046,1246.566439846495,1386.1268022660647,283.2604041826365,503.17483626028206,1267.9710377121894,1517.7136450819046
