time_s,r_x_urad,r_y_urad,r_norm_urad,r_hat_x_urad,r_hat_y_urad,r_hat_norm_urad
0.0,71.16428472588075,22.030659594704815,74.49634476082691,0.0,0.0,0.0
60.5,56.74134042102613,116.26062379328988,129.36812728635928,0.0,0.0,0.0
121.0,86.65390281755069,41.393252057420085,96.0328078804459,0.0,0.0,0.0
181.5,14.020270431607145,90.52856871604203,91.60780390747581,0.0,0.0,0.0
242.0,-68.61452271986158,44.73920670226451,81.91183885386991,0.0,0.0,0.0
302.5,22.07083569160524,184.23733737245053,185.554623413743,0.0,0.0,0.0
363.0,26.235062027026864,226.46344061699855,227.97799985009686,0.0,0.0,0.0
423.5,16.667430185948653,216.16507975676313,216.8066994704067,0.0,0.0,0.0
484.0,-50.12245861118349,100.39170435385952,112.20853425788316,0.0,0.0,0.0
544.5,-117.05829494599206,226.92649750378908,255.33953803710082,0.0,0.0,0.0
605.0,-129.40784317677063,176.9824818706216,219.24686717202724,0.0,0.0,0.0
665.5,-106.77562336000776,76.04596458593062,131.0878425855077,0.0,0.0,0.0
726.0,-123.4957116568635,62.49897835411198,138.40994578765984,0.0,0.0,0.0
786.5,-84.07325431237993,153.26903004427973,174.8133509243171,0.0,0.0,0.0
847.0,-199.45000573468565,32.60506891066652,202.0974896089396,0.0,0.0,0.0
907.5,-122.0831809085187,-43.726358914677434,129.67766779471822,0.0,0.0,0.0
968.0,-157.13200604380384,-134.39376649100666,206.76593480307443,0.0,0.0,0.0
1028.5,-196.55867194423658,-54.40956560436808,203.9502692955762,0.0,0.0,0.0
1089.0,-180.89433130917524,-15.941746180232144,181.59542497284616,0.0,0.0,0.0
1149.5,-244.197360482136,-116.9470411642191,270.7562765726915,0.0,0.0,0.0
1210.0,-106.47477104265951,-22.288333213923792,108.78256600228579,0.0,0.0,0.0
1270.5,-153.91069698320237,-117.69881739204541,193.7563270227354,0.0,0.0,0.0
1331.0,-242.38921496764303,-124.28103985195519,272.39366438908513,0.0,0.0,0.0
1391.5,-176.91945519689634,-172.27637421337656,246.94056519590694,0.0,0.0,0.0
1452.0,-213.67675241371535,-160.95978644973525,267.5178636577688,0.0,0.0,0.0
1512.5,-39.43901002779545,-201.8184327993007,205.63588045265448,0.0,0.0,0.0
1573.0,-134.7065016694408,-287.3027246733335,317.3148234746375,0.0,0.0,0.0
1633.5,-117.54778359832076,-289.37132919795715,312.3351526656424,0.0,0.0,0.0
1694.0,-54.80196227060282,-338.71704666694495,343.12168799346676,0.0,0.0,0.0
1754.5,-94.37446324162951,-438.8907107291079,448.922705236043,0.0,0.0,0.0
1815.0,4.69151074241805,-331.48745130388977,331.5206488968597,0.0,0.0,0.0
1875.5,-98.81842144047695,-454.803704782349,465.4153954262125,0.0,0.0,0.0
1936.0,80.68924925818379,-386.11837116137116,394.45931538519875,0.0,0.0,0.0
1996.5,65.68181254337688,-395.95926283947733,401.36995194877954,0.0,0.0,0.0
2057.0,166.91495459965998,-387.75976518506604,422.15901928702664,0.0,0.0,0.0
2117.5,166.73468649962433,-486.90388322072215,514.6609050409276,0.0,0.0,0.0
2178.0,93.63801512087795,-400.7569646531292,411.550996346464,0.0,0.0,0.0
2238.5,237.8917477343508,-328.8101970773653,405.84310927026934,0.0,0.0,0.0
2299.0,65.0964098235697,-320.69789212471164,327.2379571277625,0.0,0.0,0.0
2359.5,54.35281809919001,-381.0073167755305,384.86465708325716,0.0,0.0,0.0
2420.0,138.49206807283352,-317.8884474682485,346.7464750402861,0.0,0.0,0.0
2480.5,115.12620378798022,-343.52825213334177,362.3060899466367,0.0,0.0,0.0
2541.0,97.61727467133232,-198.43791551615487,221.14867991614818,0.0,0.0,0.0
2601.5,194.01559951041875,-322.8010800095512,376.61995447495855,0.0,0.0,0.0
2662.0,167.43159048411525,-239.5230887479625,292.24073558524447,0.0,0.0,0.0
2722.5,236.2303234023295,-318.86540563567036,396.83738811504367,0.0,0.0,0.0
2783.0,252.53159077742438,-190.8472973585949,316.53577246443484,0.0,0.0,0.0
2843.5,236.47504268075116,-208.31111468626588,315.141184729476,0.0,0.0,0.0
2904.0,280.3712222024427,-134.99453409616697,311.1776766979481,0.0,0.0,0.0
2964.5,234.7195712953435,-66.47938004456465,243.95242388666588,0.0,0.0,0.0
3025.0,220.6436828705068,-38.19360063711237,223.9249560015319,0.0,0.0,0.0
3085.5,225.1204283601495,-90.36194663657673,242.57882979561253,0.0,0.0,0.0
3146.0,212.691637102233,-72.38903923268654,224.67288553419036,0.0,0.0,0.0
3206.5,203.4920547574187,5.5752001513145615,203.56841406790866,0.0,0.0,0.0
3267.0,228.6351736962605,19.06940072881315,229.42904065369595,0.0,0.0,0.0
