success_rate,mean_acquisition_time_s,median_acquisition_time_s,p95_acquisition_time_s,mean_initial_error_urad,p95_initial_error_urad,mean_thermal_residual_urad,p95_thermal_residual_urad,mean_tacq_orbit0_s,success_rate_orbit0,mean_tacq_orbit1p_s,success_rate_orbit1p,case_id,model,sun_face,orbit_period_s
1.0,1.640531561461794,1.3,5.6000000000000005,313.08779001140334,542.3196124527047,8.916254726434511,14.210990271170079,1.5950495049504956,1.0,1.6635000000000002,1.0,13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,ff_only,MY,6052.0
1.0,1.4332225913621262,1.0,3.6,303.0513237391774,532.7548569579403,54.14786496284515,107.90767046270217,1.5950495049504956,1.0,1.3515000000000001,1.0,13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,ff_delta_b,MY,6052.0
1.0,0.7873754152823921,0.30000000000000004,3.6,229.76766103492272,496.78972100582905,224.52313952593985,522.124653796217,1.5950495049504956,1.0,0.37949999999999995,1.0,13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,resid_fourier,MY,6052.0
1.0,1.3920265780730898,0.30000000000000004,6.4,266.6098063828341,669.9127976749768,272.76983703626394,503.5851084693347,3.3683168316831678,1.0,0.3940000000000001,1.0,13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,fourier_total,MY,6052.0
1.0,1.5538205980066444,1.4000000000000001,3.9000000000000004,316.7837871964492,569.0114801851197,4.719292991070162,10.795370753296652,1.4732673267326735,1.0,1.5944999999999998,1.0,16_LTAN06_800km_1213COLD_PY_STTLCT_HEAT_PY_0p5,ff_only,PY,6052.0
1.0,1.3764119601328904,1.2000000000000002,3.9000000000000004,303.94752907634563,548.6694577206548,62.489841513511806,122.76516164706338,1.4732673267326735,1.0,1.3275,1.0,16_LTAN06_800km_1213COLD_PY_STTLCT_HEAT_PY_0p5,ff_delta_b,PY,6052.0
1.0,0.7624584717607974,0.30000000000000004,3.7,228.9710904772271,518.5251858032196,227.45992902843125,532.8629977716112,1.4732673267326735,1.0,0.40349999999999997,1.0,16_LTAN06_800km_1213COLD_PY_STTLCT_HEAT_PY_0p5,resid_fourier,PY,6052.0
0.9867109634551495,13.156228956228956,0.30000000000000004,65.7,549.4113192085841,1669.6016055049975,633.7342506871993,1281.8814002896208,39.50618556701031,0.9603960396039604,0.3765,1.0,16_LTAN06_800km_1213COLD_PY_STTLCT_HEAT_PY_0p5,fourier_total,PY,6052.0
