split,model,rmse_x_urad,rmse_y_urad,rmse_norm_urad,mae_x_urad,mae_y_urad,mae_norm_urad,p95_error_norm_urad,max_error_norm_urad
train,no_correction,15.287027839048626,246.76098728059304,247.23405522671194,14.543814201974794,225.25682673650957,226.1590243871922,328.6306781942303,336.4336520971456
train,static_bias_correction,4.708576070351209,130.52007765366596,130.6049821382373,3.9952102030510863,107.2161960925351,107.48675405395441,287.095717167329,340.54312868467883
train,compo_my_correction,4.708576070351209,3.3835761528253276,5.7982131896173215,3.9952102030510863,2.9776581176938,5.072396112787558,9.394856285531201,9.592486194401548
test,no_correction,16.400774811722144,263.94888142791825,264.45793128865324,15.794511591501825,240.08594711915094,241.1509002172573,355.4111151607415,363.61689733692106
test,static_bias_correction,4.591629555060354,134.30894407105131,134.3874083366879,3.907675272464579,116.22761389890405,116.4533590625565,267.9520039274232,323.9453258738918
test,compo_my_correction,4.591629555060354,3.8229384379569606,5.974773658584277,3.907675272464579,3.2733256015710994,5.285104154753973,10.052752909244079,10.520264486433462
all,no_correction,16.035684678987735,258.30904171548,258.8063063665441,15.374842367773487,235.110062871155,236.120403676272,351.81534930512646,363.61689733692106
all,static_bias_correction,4.6311999635504995,133.0496254086846,133.13020256310614,3.937047458475334,113.20384912002278,113.44463113608207,272.1260904516406,340.54312868467883
all,compo_my_correction,4.6311999635504995,3.68136142566586,5.9161165513173195,3.937047458475334,3.1741149176122705,5.213730359941321,9.867367621214685,10.520264486433462
