split,model,rmse_x_urad,rmse_y_urad,rmse_norm_urad,mae_x_urad,mae_y_urad,mae_norm_urad,p95_error_norm_urad,max_error_norm_urad
train,no_correction,16.58727142977758,241.18871055877815,241.75841593311944,15.900897097600255,220.13775804799488,221.2393339996533,322.9397116997445,330.9041491471132
train,static_bias_correction,4.722186461443822,131.13304761682107,131.21804457563033,4.004734018041972,107.79592212857331,108.06875294999554,287.54860362616665,341.5866762546288
train,sunface_my_correction,4.722186461443822,4.768200097005429,6.710795566974597,4.004734018041972,4.411800478027537,6.379644505475947,9.641298100490035,10.026777209769946
test,no_correction,17.737477956637132,258.6199857328445,259.2275354678181,17.175871130159365,235.0243594295636,236.32789173066718,350.289681813356,358.6330785591424
test,static_bias_correction,4.607942487276309,134.98195787419212,135.06058672135342,3.9221175070388075,116.92167916018663,117.13913944440766,267.86841681471185,324.45107571960153
test,sunface_my_correction,4.607942487276309,4.348905512776691,6.336096047654713,3.9221175070388075,3.8378841603161935,5.86596246471437,8.956093895259453,9.564644100930888
all,no_correction,17.360025852212395,252.90492224416158,253.5000398282314,16.748055923220928,230.0291875374093,231.26495375447985,346.57815456645585,358.6330785591424
all,static_bias_correction,4.64658998169347,133.70281524597948,133.78353263073336,3.949839326345518,113.8595480632001,114.09558783000358,272.96282702702723,341.5866762546288
all,sunface_my_correction,4.64658998169347,4.4939622767813345,6.464247473844717,3.949839326345518,4.030460732039932,6.038327534870247,9.059268518380255,10.026777209769946
