case_index,time_s,time_min,rel_dx_um,rel_dy_um,rel_dz_um,rel_axial_um,rel_transverse_um,stt_rx_urad,stt_ry_urad,stt_rz_urad,lct_rx_urad,lct_ry_urad,lct_rz_urad,rel_rx_urad,rel_ry_urad,rel_rz_urad,centerline_angle_x_urad,centerline_angle_y_urad,centerline_angle_z_urad,centerline_angle_magnitude_urad,stt_rotation_angle_x_urad,stt_rotation_angle_y_urad,stt_rotation_angle_z_urad,stt_rotation_angle_magnitude_urad,lct_rotation_angle_x_urad,lct_rotation_angle_y_urad,lct_rotation_angle_z_urad,lct_rotation_angle_magnitude_urad,relative_rotation_angle_x_urad,relative_rotation_angle_y_urad,relative_rotation_angle_z_urad,relative_rotation_angle_magnitude_urad,far_field_los_angle_x_urad,far_field_los_angle_y_urad,far_field_los_angle_z_urad,far_field_los_angle_magnitude_urad,global_los_angle_x_urad,global_los_angle_y_urad,global_los_angle_z_urad,global_los_angle_magnitude_urad,stt_relative_los_angle_x_urad,stt_relative_los_angle_y_urad,stt_relative_los_angle_z_urad,stt_relative_los_angle_magnitude_urad
1.0,0.0,0.0,-17.967206076718867,131.59913942217833,-2240.459682866458,2240.459682866458,132.82000598878622,19.6924065676285,16.48241595830768,13.0049666040577,199.2712786886841,-0.04429840672059981,12.69308177143103,179.5788721210556,-16.52671436502828,-0.3118848326266692,-19.91398821590096,145.85816517525836,0.010835585761981292,147.2113150371125,-16.482544005578966,19.692299388272293,0.00032973046515394344,25.679971029835613,0.043033723110825414,199.27127764566285,0.01985452213748573,199.27128229234683,16.526742279411714,179.5788685704685,0.016260851665172993,180.33774770529797,16.526742279411714,179.5788685704685,0.016260851665172993,180.33774770529797,-19.87095391525108,345.1294327899118,0.059754591830163406,345.70099824470896,-3.3872458488817534,325.43702532864614,0.05296036686974759,325.45465258496256
2.0,0.0,0.0,-17.967206076718867,131.59913942217833,-2240.459682866458,2240.459682866458,132.82000598878622,19.6924065676285,16.48241595830768,13.0049666040577,199.2712786886841,-0.04429840672059981,12.69308177143103,179.5788721210556,-16.52671436502828,-0.3118848326266692,-19.91398821590096,145.85816517525836,0.010835585761981292,147.2113150371125,-16.482544005578966,19.692299388272293,0.00032973046515394344,25.679971029835613,0.043033723110825414,199.27127764566285,0.01985452213748573,199.27128229234683,16.526742279411714,179.5788685704685,0.016260851665172993,180.33774770529797,16.526742279411714,179.5788685704685,0.016260851665172993,180.33774770529797,-19.87095391525108,345.1294327899118,0.059754591830163406,345.70099824470896,-3.3872458488817534,325.43702532864614,0.05296036686974759,325.45465258496256
3.0,60.5,1.0083333333333333,-18.279577489011004,132.87312322063372,-2240.6528093483757,2240.6528093483757,134.12460560084594,19.92992838495411,16.69463927100878,13.14894689130597,201.7758815782145,0.4461763580820843,12.831787898903709,181.84595319326039,-16.248462912926694,-0.31715899240226064,-20.260201344411918,147.270156070579,0.01104948743613221,148.65723873249095,-16.694770297444727,19.929818623661404,0.0003379564406102986,25.998327362668615,-0.4474709276933582,201.7758773408831,0.020356852648006907,201.77637351016654,16.24849165970049,181.8459496063705,0.016665981594776724,182.57043262658388,16.24849165970049,181.8459496063705,0.016665981594776724,182.57043262658388,-20.707671656577386,349.04602303619805,0.061130968842526556,349.6597401229125,-4.011709578596558,329.1160969714064,0.05416675097347223,329.14054611888093
4.0,121.0,2.0166666666666666,-18.587234080769083,134.083406010177,-2240.843179436069,2240.843179436069,135.36559769034108,20.15305835811887,16.892867279239,13.28510734310839,204.1698317043483,0.9403729563928209,12.9623886095942,184.01677334622943,-15.952494322846178,-0.32271873351419006,-20.601188709293474,148.6115437077541,0.011254900011969937,150.03266277526913,-16.893001144562724,20.15294614342932,0.0003457573116705248,26.296667582227222,-0.9416962141791901,204.16982418538,0.0208431021331279,204.17199587516595,15.95252392496819,184.01676972580242,0.0170583274172742,184.7069423705987,15.95252392496819,184.01676972580242,0.0170583274172742,184.7069423705987,-21.542884269400698,352.7813571822008,0.06245939276894319,353.4385121035345,-4.648664658725917,332.62830444648023,0.05533160107873414,332.66078669126244
5.0,181.5,3.025,-18.88960105134178,135.2309627691284,-2241.030099099816,2241.030099099816,136.54387690169136,20.36198929999955,17.07687079033349,13.41381630481919,206.4521540887654,1.436683305655606,13.0854050439666,186.09016478876586,-15.640187484677885,-0.3284112608525885,-20.936313252068885,149.88340887761768,0.011451682824237253,151.33857891946747,-17.077007353820072,20.361874763974303,0.00035311498169932065,26.574990575091434,-1.438034050430291,206.452143216427,0.02131227783142009,206.45715143967834,15.640217950823867,186.09016113893253,0.017437082333593423,186.74625696453234,15.640217950823867,186.09016113893253,0.017437082333593423,186.74625696453234,-22.374346609479343,356.3355410569582,0.0637378165802005,357.0372938595579,-5.296095155261442,335.9735607556476,0.05645314260505074,336.0153004711578
6.0,242.0,4.033333333333333,-19.179853552486733,136.31908950628718,-2241.216352871334,2241.216352871334,137.66176283237832,20.55636468867306,17.246435163542632,13.53423067484982,208.6272434098646,1.9205272110411902,13.2002096506767,188.07087872119155,-15.325907952501442,-0.3340210241731205,-21.258010586974503,151.089404306513,0.011639955554976211,152.57755768071814,-17.24657426824223,20.55624797695866,0.00036000180614337296,26.832883834582745,-1.921904158725512,208.6272292145686,0.02176450741853131,208.636081456069,15.325939271367037,188.0708750455395,0.017802769369801297,188.69429894658865,15.325939271367037,188.0708750455395,0.017802769369801297,188.69429894658865,-23.179914014090482,359.71662216762655,0.06496668047972776,360.4626980387674,-5.932071148977263,339.1602698251363,0.057532440700391874,339.2121432024152
7.0,302.5,5.041666666666667,-19.45603435160587,137.35063112108043,-2241.403316702417,2241.403316702417,138.72178322833793,20.73651558021083,17.40216794132721,13.64806303172372,210.6990432366729,2.386823325650766,13.30831400991883,189.96252765646207,-15.015344615676444,-0.3397490218048898,-21.56411138982953,152.23268295236636,0.011819900280762852,153.7524004980367,-17.402309445292843,20.736396824095593,0.00036641922829261375,27.070990511543723,-2.3882253324284273,210.69902578899098,0.022199891702712193,210.71256034861412,15.015376794596532,189.96252395610554,0.018155611125614257,190.5550367952988,15.015376794596532,189.96252395610554,0.018155611125614257,190.5550367952988,-23.952335952746584,362.9316970815313,0.06614656777870209,363.72122723876544,-6.548734407973829,342.195197123499,0.05857022122857103,342.2578543390005
8.0,363.0,6.05,-19.71904566744344,138.3280468871817,-2241.5907380093354,2241.5907380093354,139.72648037382555,20.90332782245241,17.54500044626184,13.75431020278484,212.6707840943709,2.836422027030494,13.40913877356797,191.7674562719185,-14.708578419231348,-0.3451714292168702,-21.85561565040287,153.31597063181368,0.01199172738886034,154.86592519412812,-17.545144198947593,20.90320715951833,0.0003723880093176035,27.290587287847117,-2.8378478715861064,212.6707634675813,0.022618453776601655,212.68969654035004,14.708611424873295,191.76745255114267,0.01849554964739042,192.33070245803884,14.708611424873295,191.76745255114267,0.01849554964739042,192.33070245803884,-24.693462715306705,365.9867221433966,0.06727802626116386,366.81882160835215,-7.147004017697933,345.08341314808683,0.05956682269658842,345.1574158211905
9.0,423.5,7.058333333333334,-19.967483240179746,139.2554258927703,-2241.780220003875,2241.780220003875,140.67968590924454,21.0575253731804,17.67597495927475,13.85550785926171,214.5509351976216,3.264915676481905,13.50480215478456,193.49340982444122,-14.411059282792845,-0.35070570447715,-22.13096692616943,154.34379924862253,0.012155894069110218,155.92237832840513,-17.676120837823337,21.057402915060027,0.00037792968754502,27.49289845397373,-3.2663643852911246,214.55091149866024,0.023021381578836042,214.57577393826043,14.411093121990612,193.49340608333034,0.018823689051927772,194.02932201783125,14.411093121990612,193.49340608333034,0.018823689051927772,194.02932201783125,-25.39733046860213,368.8946985048148,0.0683641639964705,369.76793124862735,-7.719873576090707,347.8371950549026,0.06052515733045993,347.9228516664193
10.0,484.0,8.066666666666666,-20.20216925302519,140.135693072807,-2241.9715108128457,2241.9715108128457,141.58439220310916,21.20002500305418,17.79604826879222,13.95077015331481,216.3437457056716,3.673173296192545,13.59472662443295,195.14372070261743,-14.122874972599675,-0.3560435288818604,-22.391076498527784,155.31941072603183,0.012312739938735717,156.9250765653619,-17.796196144276767,21.19990086537319,0.0003830701311713369,27.679241209022013,-3.6746438344507415,216.34371904298018,0.023409054139555963,216.37492409393937,14.122909622323569,195.14371694340014,0.019140263596284512,195.65409997923933,14.122909622323569,195.14371694340014,0.019140263596284512,195.65409997923933,-26.065719454963688,371.6631172496671,0.06940644947661667,372.5760250666227,-8.268166628213953,350.46311715785856,0.061446381427465724,350.5606353648322
