case_index,rel_dx_um,rel_dy_um,rel_dz_um,rel_axial_um,rel_transverse_um,angle_x_urad,angle_y_urad,angle_z_urad,angle_magnitude_urad
1.0,38.157563267304795,-181.40697284252383,761.8493339975885,-761.8493339975885,185.37661511201068,42.433211300309225,-201.73406661352527,0.02124860576380172,206.1485184960215
2.0,37.41821456060279,-186.1813543655444,760.3261317967736,-760.3261317967736,189.90423769440144,41.610946240003706,-207.04307830744727,0.022299153856764065,211.18311456951022
3.0,36.8311020793044,-190.98388293059543,766.7918842173549,-766.7918842173549,194.50288846087486,40.958341935464894,-212.38525972942756,0.023392542458644527,216.29860170535716
4.0,36.2484461220447,-190.54615040658973,787.2176845182821,-787.2176845182821,193.96336066647612,40.31131006102987,-211.90328887792867,0.023264003057299476,215.70351479520116
5.0,34.672651963774115,-185.7025381468702,787.4998134695943,-787.4998134695943,188.91168695554757,38.55890703412779,-206.51685114504636,0.02206799976089968,210.08569604837825
6.0,33.716073630785104,-183.51481776335277,782.0349712801544,-782.0349712801544,186.58633915641602,37.49488357238864,-204.0826817854118,0.021527803872878337,207.49845276589122
7.0,35.15386833896628,-185.85358338896185,778.0798067926753,-778.0798067926753,189.149012468242,39.09365060151495,-206.68266098026953,0.022123018306174913,210.3474192270789
8.0,37.8854001610307,-186.66365212993696,773.2388633030496,-773.2388633030496,190.46947937096783,42.131085226230454,-207.582398578309,0.022432740554023667,211.81473337752016
9.0,39.54565454478143,-180.20946663455106,766.6622953479418,-766.6622953479418,184.49745434039073,43.97707697690185,-200.40344956687275,0.021047763199000258,205.17194385604958
10.0,40.08738164884562,-170.70240210159682,759.8355671802892,-759.8355671802892,175.3462524570042,44.57917080696371,-189.82959792948265,0.019011289653647623,194.99379330576556
11.0,39.9021432713198,-170.39530212059617,756.1840340031267,-756.1840340031267,175.00497142199754,44.37299629669471,-189.48731797587234,0.018937203472013664,194.61348119687534
12.0,39.1150351788383,-178.63154062069952,755.9585834258087,-755.9585834258087,182.86392011976113,43.4976853541003,-198.64633925833888,0.020676208523084938,203.35293749703183
13.0,38.35510960925603,-185.7541974459309,763.2360271827565,-763.2360271827565,189.67270837397754,42.65295892329386,-206.56872667569436,0.022244957209593963,210.9263250145272
14.0,37.56125033760327,-186.8932376964949,784.1902591678718,-784.1902591678718,190.63034864260896,41.77111777470054,-207.84024421306125,0.022471197014262145,211.99621269457276
15.0,35.773733543464914,-183.1410190789029,784.8320874757064,-784.8320874757064,186.60223171467672,39.78328441261244,-203.66762224522301,0.021531605276514654,207.51677211147532
16.0,34.622075872903224,-181.71964984503575,779.6226587117872,-779.6226587117872,184.9884301180792,38.50232491688837,-202.0857740535605,0.021160544760867595,205.7209023677259
17.0,35.88867730286438,-184.6017621573992,775.85374026512,-775.85374026512,188.0579903917037,39.91071265969883,-205.29003684819546,0.021868432287242,209.13360498469262
18.0,38.47457765004947,-185.79998140921816,771.1528914171595,-771.1528914171595,189.74173556973568,42.78619054232827,-206.62146001037746,0.022261543164425746,211.00494424075373
19.0,40.013755324253,-179.62504352908581,764.6853378844298,-764.6853378844298,184.02786984034552,44.497534553981964,-199.7530978141259,0.020940665645952095,204.64928887752012
20.0,40.45681203024287,-170.3204652585555,757.9466015954495,-757.9466015954495,175.05945997157997,44.98990134050109,-189.40446722600188,0.018949071978191512,194.67445666052888
21.0,40.192172718889196,-170.1603687251918,754.3685036353054,-754.3685036353054,174.8426773775735,44.69543198368981,-189.22567933487375,0.01890201994925178,194.4326104787955
22.0,39.34179903808399,-178.50229414761998,754.2061192395977,-754.2061192395977,182.78634021041188,43.749771745448584,-198.5022245026858,0.02065858806243881,203.26626937870608
23.0,38.532051803485956,-185.70036627352238,761.5423380968878,-761.5423380968878,189.65585952009732,42.84964751917334,-206.50847454435166,0.022240921437877148,210.90719058543377
24.0,37.699129734392045,-186.89335774979554,782.544927261597,-782.544927261597,190.6576816016695,41.924373992448935,-207.8399974272865,0.022477559036282457,212.02622064494398
25.0,35.88112713259761,-183.18011643714271,783.2311520701296,-783.2311520701296,186.66121809907597,39.9026437257217,-203.71073898587312,0.021545143336076933,207.58200024781758
26.0,34.70571846264647,-181.78674508817494,778.0637327243767,-778.0637327243767,185.070007250666,38.595274790197834,-202.1600384802622,0.021179138331994807,205.81126503063007
27.0,35.953844871983165,-184.6885061240755,774.3346751567515,-774.3346751567515,188.15558257841118,39.98311599783698,-205.38615522537359,0.02189106129701912,209.2417806122328
28.0,38.525177387782605,-185.90014951769263,769.6716594125519,-769.6716594125519,189.85008528694578,42.84239011407564,-206.7325128119387,0.0222869014354643,211.12508860033017
29.0,40.05310779575666,-179.7347067622468,763.2402679007555,-763.2402679007555,184.14346651187313,44.54122512507075,-199.8747282610102,0.020966914093811795,204.77750934651186
30.0,40.48720506943937,-170.43742627720349,756.5362025729883,-756.5362025729883,175.18027871404936,45.023629229634366,-189.53423617157105,0.018975177096258733,194.80850677662045
31.0,40.21568884127191,-170.28253205353394,752.9915853581315,-752.9915853581315,174.9669750311207,44.72151444899986,-189.36124027867203,0.01892884682330731,194.57053673680497
