case_id,model,uses_nonthermal_error,success_rate,mean_acquisition_time_s,median_acquisition_time_s,p95_acquisition_time_s,mean_initial_error_urad,p95_initial_error_urad,mean_thermal_residual_urad,p95_thermal_residual_urad,mean_nonthermal_error_urad,p95_nonthermal_error_urad,mean_uncorrected_total_error_urad,p95_uncorrected_total_error_urad
03_LTAN06_800km_1213COLD_MZ_ALL_HEAT_MZ_0p5,static_bias_correction,False,1.0,0.15625,0.1,0.4,11.414200020564053,26.411082678594834,11.414200020564053,26.411082678594834,0.0,0.0,590.9702218329743,607.6458200863834
03_LTAN06_800km_1213COLD_MZ_ALL_HEAT_MZ_0p5,fourier_ff_correction,False,1.0,0.1,0.1,0.1,5.118066437925392,16.272126748072267,5.118066437925392,16.272126748072267,0.0,0.0,590.9702218329743,607.6458200863834
03_LTAN06_800km_1213COLD_MZ_ALL_HEAT_MZ_0p5,fourier_plus_drift_correction,False,1.0,0.1,0.1,0.1,5.512991012570651,13.247582721428595,5.512991012570651,13.247582721428595,0.0,0.0,590.9702218329743,607.6458200863834
03_LTAN06_800km_1213COLD_MZ_ALL_HEAT_MZ_0p5,fourier_ff_correction_with_nonthermal,True,0.96875,24.63225806451613,12.9,71.4,297.37277843189395,586.4549180243692,5.118066437925392,16.272126748072267,297.96319748837504,586.6900981163781,691.7765568689017,890.6874580810843
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,static_bias_correction,False,1.0,13.271192052980135,5.800000000000001,65.3,201.32596851595235,515.5481105401486,201.32596851595235,515.5481105401486,0.0,0.0,245.32657001178927,417.8642634406336
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,fourier_ff_correction,False,1.0,0.4602649006622517,0.1,3.1149999999999807,29.81408517925512,107.17427158937812,29.81408517925512,107.17427158937812,0.0,0.0,245.32657001178927,417.8642634406336
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,fourier_plus_drift_correction,False,1.0,0.6228476821192054,0.4,1.5,43.003694713207494,100.63503429313138,43.003694713207494,100.63503429313138,0.0,0.0,245.32657001178927,417.8642634406336
04_LTAN06_800km_1213COLD_MY_ALL_HEAT_MY_0p5,fourier_ff_correction_with_nonthermal,True,0.9768211920529801,23.269152542372883,19.700000000000003,59.48000000000001,310.4196028750706,519.9251847136263,29.81408517925512,107.17427158937812,314.04991930290413,522.1063457843501,369.8460594099984,699.1447512836706
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,static_bias_correction,False,0.9933774834437086,6.322,4.5,21.200000000000003,130.03806589105218,294.78883206500944,130.03806589105218,294.78883206500944,0.0,0.0,919.8225738225574,1018.5451125665691
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,fourier_ff_correction,False,0.9801324503311258,0.5030405405405406,0.1,2.3000000000000003,25.603764273901675,90.89993488692825,25.603764273901675,90.89993488692825,0.0,0.0,919.8225738225574,1018.5451125665691
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,fourier_plus_drift_correction,False,1.0,0.6738410596026491,0.8,2.3000000000000003,30.71546075066104,73.17873778794012,30.71546075066104,73.17873778794012,0.0,0.0,919.8225738225574,1018.5451125665691
05_LTAN06_800km_1213COLD_PX_ALL_HEAT_PX_0p5,fourier_ff_correction_with_nonthermal,True,0.9768211920529801,25.765084745762714,20.6,69.36,323.67231511827697,543.3516419553764,25.603764273901675,90.89993488692825,319.71415870848637,531.5951414859728,1116.3062466871675,1347.980461776357
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,static_bias_correction,False,0.9900662251655629,6.477926421404683,4.5,21.200000000000003,131.46680971385103,293.4464013064708,131.46680971385103,293.4464013064708,0.0,0.0,884.739019822505,1001.9849961907007
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,fourier_ff_correction,False,0.9735099337748344,0.5139455782312925,0.1,2.3000000000000003,26.55766364955542,92.57367298096244,26.55766364955542,92.57367298096244,0.0,0.0,884.739019822505,1001.9849961907007
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,fourier_plus_drift_correction,False,1.0,0.6847682119205298,0.8,2.3000000000000003,31.192879261602112,74.2589414104034,31.192879261602112,74.2589414104034,0.0,0.0,884.739019822505,1001.9849961907007
06_LTAN06_800km_1213COLD_PX_STTLCT_HEAT_PX_0p5,fourier_ff_correction_with_nonthermal,True,0.9735099337748344,26.513605442176875,20.4,70.17,320.6617721161619,538.2236722474811,26.55766364955542,92.57367298096244,317.54842470480924,534.9757479991014,1079.7369655569537,1355.7671662243579
