case_id,lct_face,stt_node,proxy_label,proxy_node,u0_x,u0_y,u0_z,n_samples,rms_mag_urad,peak_mag_urad,mean_mag_urad,rms_x_urad,rms_y_urad,rms_z_urad,peak_x_urad,peak_y_urad,peak_z_urad
03_LTAN06_800km_1213COLD_MZ_ALL_HEAT_MZ_0p5,LCT,19459,LCT,15858,0.0,0.0,-1.0,32.0,592.3386395292572,614.3184263786184,592.1986402642821,24.802909935664246,591.8191273844524,0.17559600885749854,31.126212850835895,613.724077473871,0.18869358231476951
03_LTAN06_800km_1213COLD_MZ_ALL_HEAT_MZ_0p5,MX,19459,PANEL_MX,6837,-1.0,0.0,0.0,32.0,267.4378561531106,277.1456350092112,267.3970261020562,0.035783338473230016,252.06531136016872,89.36490201792367,0.0384048521873126,259.8441415183089,102.83197288034067
