split,model,rmse_x_urad,rmse_y_urad,rmse_norm_urad,mae_x_urad,mae_y_urad,mae_norm_urad,p95_error_norm_urad,max_error_norm_urad
train,no_correction,634.1046961935006,648.1211156473846,906.7247356737668,615.6758752841731,645.6878143298638,902.326679903365,1010.2384798084069,1037.6383233845904
train,static_bias_correction,151.76291486301616,56.1090632067021,161.8029953420294,124.31306347121794,54.44112720573267,141.030547749007,313.4964745336691,427.13614492566427
train,temperature_ridge_correction,102.4828486613043,15.265397380367892,103.6135446112927,78.22806325731375,13.444964356839613,81.53861044581801,204.9102711383552,251.37456984623626
val,no_correction,20.146418347003248,263.0581480014722,263.8284810292037,19.45608313721188,241.90515424847644,243.0212571399702,416.6644432207812,532.2636411262198
val,static_bias_correction,635.1534803567987,795.6891087043467,1018.1066257126864,635.131958421385,759.5267405447343,1005.9160029568699,1154.6193103139844,1165.8244470112063
val,temperature_ridge_correction,3607.9017630745125,2060.8883816612192,4155.022990750156,3606.783778506224,2047.0601201821628,4153.369406799152,4332.399707705017,4375.996850919551
test,no_correction,24.148064919211784,590.6447647600132,591.1381963447751,23.804224110168906,590.524038687898,591.0196307565066,606.7387495483536,612.9947613875122
test,static_bias_correction,639.4929909508413,56.441474229705065,641.9789135855439,639.4800993943421,55.16377564196584,641.9612214804847,650.433608967601,650.7887904449137
test,temperature_ridge_correction,9475.522498259417,760.3518121317152,9505.980301538204,9401.725881137512,757.9263841077828,9432.31262949361,10703.306576001572,10800.80309348963
