feature,coef_x_urad,coef_y_urad
intercept,117.36039954456257,-610.1839362946946
t_stt_minus_ref_c,147.9351242153808,-17.847446178058075
t_lct_minus_ref_c,-45.387599945055804,-0.3679336650140669
t_mid_minus_ref_c,-45.387600263931056,-0.3679336356066271
t_stt_minus_t_lct_c,193.32272306385414,-17.479512512548823
dt_mid_dt_c_per_s,-32669.12430575573,1337.240141403773
