split,model,rmse_x_urad,rmse_y_urad,rmse_norm_urad,mae_x_urad,mae_y_urad,mae_norm_urad,p95_error_norm_urad,max_error_norm_urad
train,no_correction,583.9362379219356,703.3160669504861,914.1307455660399,565.0476820265437,703.1648385059437,911.0226017944125,989.1902138988746,1001.6900382073023
train,static_bias_correction,147.3181828385528,14.584235311149296,148.03832920721658,122.66987449218402,10.865762230934578,123.5473620037253,304.1305198780816,370.0302708892266
train,sunface_px_correction,3.781749446347209,14.584235311149296,15.066570561541916,3.491091288253883,10.865762230934578,12.134009694032617,28.653636091583373,29.570141398242093
test,no_correction,611.4068635691186,699.0773997976406,928.7236207436836,592.8288182241632,698.9569289892851,925.1847094285288,1025.3570624863594,1038.4265239806161
test,static_bias_correction,152.13197110009312,13.6429039503407,152.74248085911722,133.34540097977708,10.188369546096277,134.11025720090464,274.7510484947951,340.8137717689476
test,sunface_px_correction,3.7183627023870907,13.6429039503407,14.14054629018007,3.274476042470901,10.188369546096277,11.136511098706325,28.02859866218362,28.980067427155927
all,no_correction,602.3288278915896,700.5025359739034,923.8527046099535,583.5069087359255,700.3688853387285,920.4326400895064,1019.4624863637553,1038.4265239806161
all,static_bias_correction,150.53387465088696,13.965840804260326,151.18032982759,129.7632475736412,10.41566742373305,130.5658970184624,294.71000929531345,370.0302708892266
all,sunface_px_correction,3.7397517788852865,13.965840804260326,14.457885486391792,3.3471608923847915,10.41566742373305,11.471219929696211,28.265071527459853,29.570141398242093
