case_id,model,uses_nonthermal_error,success_rate,mean_acquisition_time_s,median_acquisition_time_s,p95_acquisition_time_s,mean_initial_error_urad,p95_initial_error_urad,mean_thermal_residual_urad,p95_thermal_residual_urad,mean_nonthermal_error_urad,p95_nonthermal_error_urad,mean_uncorrected_total_error_urad,p95_uncorrected_total_error_urad
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,no_correction,False,0.9169435215946844,5.552173913043479,5.800000000000001,9.5,146.61045943732597,221.69822089994315,146.61045943732597,221.69822089994315,0.0,0.0,146.61045943732597,221.69822089994315
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,bcase_correction,False,1.0,0.09999999999999998,0.1,0.1,7.3504988236866895,12.466108755316325,7.3504988236866895,12.466108755316325,0.0,0.0,146.61045943732597,221.69822089994315
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,bcase_correction_with_nonthermal,True,0.9767441860465116,22.67721088435374,17.950000000000003,65.4,312.47426883392467,545.1796615421841,7.3504988236866895,12.466108755316325,312.74248982558845,543.0884663828018,415.80427048418704,716.0752676509147
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,bcase_delta_b,False,1.0,0.09999999999999998,0.1,0.1,7.240614849057307,13.158828529253515,7.240614849057307,13.158828529253515,0.0,0.0,146.61045943732597,221.69822089994315
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,bcase_delta_b_with_nonthermal,True,0.9833887043189369,21.283783783783782,17.25,55.825,302.7032149117904,532.2123427282667,54.28828661654984,107.37602938551663,312.74248982558845,543.0884663828018,415.80427048418704,716.0752676509147
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,bcase_delta_b_slow_b,False,1.0,0.09999999999999998,0.1,0.1,8.10299027939039,13.843559145630831,8.10299027939039,13.843559145630831,0.0,0.0,146.61045943732597,221.69822089994315
13_LTAN06_800km_1213COLD_MY_STTLCT_PROP_HEAT_MY_0p5,bcase_delta_b_slow_b_with_nonthermal,True,0.973421926910299,21.427303754266212,16.6,56.08,302.9042263131412,534.4683786473779,54.613077109047396,108.04728328042484,312.74248982558845,543.0884663828018,415.80427048418704,716.0752676509147
16_LTAN06_800km_1213COLD_PY_STTLCT_HEAT_PY_0p5,no_correction,False,0.9269102990033222,363.5336917562724,378.70000000000005,455.90000000000003,1210.7583442686491,1352.7935288416334,1210.7583442686491,1352.7935288416334,0.0,0.0,1210.7583442686491,1352.7935288416334
16_LTAN06_800km_1213COLD_PY_STTLCT_HEAT_PY_0p5,bcase_correction,False,1.0,0.09999999999999998,0.1,0.1,4.735496156611111,7.695160110880459,4.735496156611111,7.695160110880459,0.0,0.0,1210.7583442686491,1352.7935288416334
16_LTAN06_800km_1213COLD_PY_STTLCT_HEAT_PY_0p5,bcase_correction_with_nonthermal,True,0.9700996677740864,22.659246575342465,19.400000000000002,56.445,318.2147813568644,572.1963551875112,4.735496156611111,7.695160110880459,317.25676038842374,569.2956740438558,1288.4839898254572,1745.3124715691806
16_LTAN06_800km_1213COLD_PY_STTLCT_HEAT_PY_0p5,bcase_delta_b,False,1.0,0.09999999999999998,0.1,0.1,4.603162513957473,8.392001275942455,4.603162513957473,8.392001275942455,0.0,0.0,1210.7583442686491,1352.7935288416334
16_LTAN06_800km_1213COLD_PY_STTLCT_HEAT_PY_0p5,bcase_delta_b_with_nonthermal,True,0.9800664451827242,20.94169491525424,18.2,55.93000000000001,304.68628279278164,551.4899538791541,61.17129634887221,121.87859662333351,317.25676038842374,569.2956740438558,1288.4839898254572,1745.3124715691806
16_LTAN06_800km_1213COLD_PY_STTLCT_HEAT_PY_0p5,bcase_delta_b_slow_b,False,1.0,0.09999999999999998,0.1,0.1,5.446633341646241,10.200308363352363,5.446633341646241,10.200308363352363,0.0,0.0,1210.7583442686491,1352.7935288416334
16_LTAN06_800km_1213COLD_PY_STTLCT_HEAT_PY_0p5,bcase_delta_b_slow_b_with_nonthermal,True,0.9634551495016611,20.919310344827586,18.25,55.955000000000005,304.1287854539111,551.5495697541161,64.11628810810852,124.97547901180006,317.25676038842374,569.2956740438558,1288.4839898254572,1745.3124715691806
