case_name,time_s,thermal_los_x_urad,thermal_los_y_urad,thermal_los_norm_urad,nonthermal_error_x_urad,nonthermal_error_y_urad,nonthermal_error_norm_urad,thermal_plus_nonthermal_error_x_urad,thermal_plus_nonthermal_error_y_urad,thermal_plus_nonthermal_error_norm_urad,thermal_plus_nonthermal_no_correction_success,thermal_plus_nonthermal_no_correction_acquisition_time_s,thermal_plus_nonthermal_no_correction_residual_x_urad,thermal_plus_nonthermal_no_correction_residual_y_urad,thermal_plus_nonthermal_no_correction_residual_norm_urad,thermal_plus_nonthermal_no_correction_pointing_error_x_urad,thermal_plus_nonthermal_no_correction_pointing_error_y_urad,thermal_plus_nonthermal_no_correction_pointing_error_norm_urad,thermal_plus_nonthermal_no_correction_thermal_residual_norm_urad,thermal_plus_nonthermal_no_correction_scan_index,sunface_correction_success,sunface_correction_acquisition_time_s,sunface_correction_residual_x_urad,sunface_correction_residual_y_urad,sunface_correction_residual_norm_urad,sunface_correction_pointing_error_x_urad,sunface_correction_pointing_error_y_urad,sunface_correction_pointing_error_norm_urad,sunface_correction_thermal_residual_norm_urad,sunface_correction_scan_index,sunface_correction_with_nonthermal_success,sunface_correction_with_nonthermal_acquisition_time_s,sunface_correction_with_nonthermal_residual_x_urad,sunface_correction_with_nonthermal_residual_y_urad,sunface_correction_with_nonthermal_residual_norm_urad,sunface_correction_with_nonthermal_pointing_error_x_urad,sunface_correction_with_nonthermal_pointing_error_y_urad,sunface_correction_with_nonthermal_pointing_error_norm_urad,sunface_correction_with_nonthermal_thermal_residual_norm_urad,sunface_correction_with_nonthermal_scan_index
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,0.0,660.245175064845,-703.6262566782626,964.8904602510443,80.65157295243104,-134.04046670959423,156.43376533033762,740.896748017276,-837.6667233878568,1118.3083343577134,1.0,176.10000000000002,20.896748017275968,2.3332766121432087,21.026608320085806,740.896748017276,-837.6667233878568,1118.3083343577134,964.8904602510443,1760.0,1.0,0.1,-1.9003156082860642,0.6812290486850543,2.018730399995992,-1.9003156082860642,0.6812290486850543,2.018730399995992,2.018730399995992,0.0,1.0,3.7,-1.2487426558550396,-13.359237660909116,13.417473275591211,78.75125734414496,-133.35923766090912,154.875584915062,2.018730399995992,36.0
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,60.5,668.2998475652249,-703.985932075643,970.6806265791621,-16.620587027410522,-8.707597327728628,18.763426242496163,651.6792605378143,-712.6935294033716,965.7214533541993,1.0,129.5,11.679260537814343,7.306470596628401,13.77641605387783,651.6792605378143,-712.6935294033716,965.7214533541993,970.6806265791621,1294.0,1.0,0.1,-1.9378515895926967,0.32155365130472546,1.9643486284146057,-1.9378515895926967,0.32155365130472546,1.9643486284146057,1.9643486284146057,0.0,1.0,0.1,-18.558438617003276,-8.386043676423924,20.365200034469787,-18.558438617003276,-8.386043676423924,20.365200034469787,1.9643486284146057,0.0
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,121.0,676.1701033338511,-704.4924805998252,976.4812665198477,-5.437648710339239,-179.73832726128032,179.82056142215816,670.7324546235119,-884.2308078611055,1109.8405954262012,1.0,192.9,-9.267545376488101,-4.230807861105518,10.18759699158041,670.7324546235119,-884.2308078611055,1109.8405954262012,976.4812665198477,1928.0,1.0,0.1,-1.9854056900459227,-0.18499487287749616,1.9940057314505613,-1.9854056900459227,-0.18499487287749616,1.9940057314505613,1.9940057314505613,0.0,1.0,5.9,-7.423054400385126,-19.923322134157843,21.261244119112614,-7.423054400385126,-179.92332213415784,180.07638263920956,1.9940057314505613,58.0
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,181.5,683.8393679384341,-705.1456547196311,982.2762724979232,48.55902747242781,-122.67974262808325,131.94051083863798,732.3983954108619,-827.8253973477143,1105.3064272383049,1.0,176.10000000000002,12.398395410861895,12.174602652285671,17.376454140736612,732.3983954108619,-827.8253973477143,1105.3064272383049,982.2762724979232,1760.0,1.0,0.1,-2.038268230163567,-0.8381689926834497,2.203874914415541,-2.038268230163567,-0.8381689926834497,2.203874914415541,2.203874914415541,0.0,1.0,3.5,6.520759242264262,-3.517911620766654,7.409183711253208,46.52075924226426,-123.51791162076665,131.98808859754064,2.203874914415541,34.0
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,242.0,691.3187378767838,-705.9045555903259,988.0398974447969,6.245069807515332,-132.20784520840235,132.3552614426401,697.563807684299,-838.1124007987282,1090.4254500714965,1.0,175.9,17.563807684299036,1.8875992012717688,17.6649475265477,697.563807684299,-838.1124007987282,1090.4254500714965,988.0398974447969,1758.0,1.0,0.1,-2.08220834944359,-1.5970698633782376,2.6241615344722176,-2.08220834944359,-1.5970698633782376,2.6241615344722176,2.6241615344722176,0.0,1.0,3.3000000000000003,4.1628614580716885,-13.804915071780556,14.418914510398233,4.1628614580716885,-133.80491507178056,133.869655683749,2.6241615344722176,32.0
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,302.5,698.6114365655693,-706.7528703223155,993.7593063760662,-103.97060855841016,-216.22555255515883,239.9236899970278,594.6408280071591,-922.9784228774744,1097.9466669335218,1.0,210.3,-5.3591719928408565,-2.9784228774743724,6.1312092841390236,594.6408280071591,-922.9784228774744,1097.9466669335218,993.7593063760662,2102.0,1.0,0.1,-2.113167932130409,-2.445384595367841,3.231932011761177,-2.113167932130409,-2.445384595367841,3.231932011761177,3.231932011761177,0.0,1.0,8.700000000000001,13.916223509459428,-18.670937150526697,23.28658778877123,-106.08377649054057,-218.6709371505267,243.0447415369947,3.231932011761177,86.0
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,363.0,705.7164016134083,-707.6886417712711,999.4292637291766,10.333241754316216,-211.78240039961833,212.0343392098964,716.0496433677245,-919.4710421708894,1165.3986824936205,1.0,210.9,-3.9503566322755432,0.5289578291105954,3.985613366489625,716.0496433677245,-919.4710421708894,1165.3986824936205,999.4292637291766,2108.0,1.0,0.1,-2.1264442435716546,-3.381156044323461,3.994243522506371,-2.1264442435716546,-3.381156044323461,3.994243522506371,3.994243522506371,0.0,1.0,9.3,8.206797510744536,-15.16355644394173,17.241953758520797,8.206797510744536,-215.16355644394173,215.32001195194948,3.994243522506371,92.0
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,423.5,712.6442041971476,-708.67293702556,1005.0269118029721,-45.10714405853882,-173.22281021288163,178.99943134872183,667.5370601386088,-881.8957472384417,1106.0496533409998,1.0,192.9,-12.462939861391192,-1.895747238441686,12.606297139950048,667.5370601386088,-881.8957472384417,1106.0496533409998,1005.0269118029721,1928.0,1.0,0.1,-2.1474298194045787,-4.365451298612356,4.86504058254649,-2.1474298194045787,-4.365451298612356,4.86504058254649,4.86504058254649,0.0,1.0,5.7,-7.254573877943358,-17.58826151149401,19.025661227595737,-47.25457387794336,-177.588261511494,183.7677484736122,4.86504058254649,56.0
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,484.0,719.3991517027385,-709.7032313089238,1010.5512436294102,-75.4610808906925,-193.0114178056364,207.23846682634374,643.938070812046,-902.7146491145602,1108.8507459379568,1.0,192.70000000000002,3.9380708120460213,-22.71464911456019,23.053496179935024,643.938070812046,-902.7146491145602,1108.8507459379568,1010.5512436294102,1926.0,1.0,0.1,-2.171777703125713,-5.3957455819761435,5.8164154577548075,-2.171777703125713,-5.3957455819761435,5.8164154577548075,5.8164154577548075,0.0,1.0,8.9,2.3671414061817586,1.5928366123874866,2.853153853303778,-77.63285859381824,-198.4071633876125,213.05460149212112,5.8164154577548075,88.0
09_LTAN06_800km_1213COLD_MX_ALL_HEAT_MX_0p5,544.5,725.9869705095823,-710.7720956566487,1015.9990419846986,-11.693760087425098,-209.59292868795848,209.9188885759876,714.2932104221572,-920.3650243446073,1165.0264239458443,1.0,210.9,-5.7067895778427555,-0.36502434460726363,5.718451718597496,714.2932104221572,-920.3650243446073,1165.0264239458443,1015.9990419846986,2108.0,1.0,0.1,-2.184826289280295,-6.464609929701055,6.823829383675986,-2.184826289280295,-6.464609929701055,6.823829383675986,6.823829383675986,0.0,1.0,9.3,-13.878586376705357,-16.05753861765959,21.22403605050888,-13.878586376705357,-216.0575386176596,216.50282943494557,6.823829383675986,92.0
