split,model,rmse_x_urad,rmse_y_urad,rmse_norm_urad,mae_x_urad,mae_y_urad,mae_norm_urad,p95_error_norm_urad,max_error_norm_urad
train,no_correction,18.14683105177232,255.28068050057308,255.9248587262622,17.36685326224146,233.3426696913399,234.33347201493342,418.3828942547611,532.3016850642006
train,static_bias_correction,5.263068020588512,236.29551766896464,236.35412320379203,4.675325736496266,192.2485745015217,192.4213367919227,514.3824988212225,628.2978742814704
train,sunface_my_correction,5.263068020588512,9.592590877177113,10.941557691948756,4.675325736496266,8.856130520264047,10.492206930379846,16.773478286460485,18.013069714552746
test,no_correction,19.111496409113062,268.7418015227597,269.4204988130894,18.401348234715286,248.57042555515693,249.52870541944452,405.3349165574081,516.1314513182305
test,static_bias_correction,5.264015386409468,241.64124575979284,241.69857573087378,4.5537533688923455,206.01397608975785,206.1703830004104,501.2545044848287,612.06126323237
test,sunface_my_correction,5.264015386409468,7.817937731150587,9.424967286760396,4.5537533688923455,6.4734173183927535,8.39599849003044,16.068452250664166,17.179296294502805
all,no_correction,18.793325509762834,264.3013858212693,264.9686993415625,18.0542253369749,243.4607798998562,244.4299726159375,418.3828942547611,532.3016850642006
all,static_bias_correction,5.263697518547158,239.86077820451652,239.9185266552857,4.594546754699641,201.3950207395524,201.55691566799425,514.3824988212225,628.2978742814704
all,sunface_my_correction,5.263697518547158,8.45504583999013,9.959634115924837,4.594546754699641,7.27293237948578,9.09937740190848,16.399063221714815,18.013069714552746
