case_id,sun_face,mode,orbit_index,n_samples,r_obs_x_urad,r_obs_y_urad,r_obs_norm_urad,delta_b_x_urad,delta_b_y_urad,b_adapt_x_urad,b_adapt_y_urad,w_orbit_small,promoted_norm_urad,layer
16_LTAN06_800km_1213COLD_PY_STTLCT_HEAT_PY_0p5,PY,"('PY', 0, 0)",0,101,0.6286511054669659,-0.6605243164567841,0.9118632490870219,0.25146044218678637,-0.26420972658271363,0.0,0.0,1.0,0.0,delta_b_thermal
16_LTAN06_800km_1213COLD_PY_STTLCT_HEAT_PY_0p5,PY,"('PY', 0, 0)",1,100,4.4374616177871085,0.308077684704664,4.448143148454956,2.02644508930163,-0.14097865270084803,0.0,0.0,1.0,0.0,delta_b_thermal
16_LTAN06_800km_1213COLD_PY_STTLCT_HEAT_PY_0p5,PY,"('PY', 0, 0)",2,100,-3.1568162811552356,1.6322904223129453,3.5538515804323265,0.7637185768395356,0.51193751622433,0.0,0.0,1.0,0.0,delta_b_thermal
16_LTAN06_800km_1213COLD_PY_STTLCT_HEAT_PY_0p5,PY,"('PY', 0, 0)",0,101,151.42398308787563,-59.494189266344726,162.69228995455467,60.56959323515025,-23.79767570653789,0.0,0.0,1.0,0.0,delta_b_nonthermal
16_LTAN06_800km_1213COLD_PY_STTLCT_HEAT_PY_0p5,PY,"('PY', 0, 0)",1,100,118.63942610338225,-54.669965045530255,130.62969993159825,108.02536367650316,-45.665661724749995,0.0,0.0,1.0,0.0,delta_b_nonthermal
16_LTAN06_800km_1213COLD_PY_STTLCT_HEAT_PY_0p5,PY,"('PY', 0, 0)",2,100,-1.5280931224314083,18.491370359372915,18.554402344411887,107.4141264275306,-38.26911358100083,0.0,0.0,1.0,0.0,delta_b_nonthermal
16_LTAN06_800km_1213COLD_PY_STTLCT_HEAT_PY_0p5,PY,"('PY', 0, 0)",0,101,0.9452669089676647,-2.6137422074040115,2.7794204172730828,0.3592014254077126,-0.9932220388135244,0.018905338179353297,-0.052274844148080236,1.0,0.055588408345461665,slow_b_thermal
16_LTAN06_800km_1213COLD_PY_STTLCT_HEAT_PY_0p5,PY,"('PY', 0, 0)",1,100,-0.9566156727890482,-11.642472657881033,11.681707201215628,-0.02227260152251139,-5.367700546867641,0.017733095993957962,-0.3347853992463771,1.0,0.2825129871239357,slow_b_thermal
16_LTAN06_800km_1213COLD_PY_STTLCT_HEAT_PY_0p5,PY,"('PY', 0, 0)",2,100,10.551052093085014,11.106651801364794,15.319347718090137,3.9882408239259197,-0.8787878350056368,0.2276405077795327,-0.3810373905624633,1.0,0.2149427091650753,slow_b_thermal
16_LTAN06_800km_1213COLD_PY_STTLCT_HEAT_PY_0p5,PY,"('PY', 0, 0)",0,101,159.90065773447762,-76.38060514042142,177.2067075071808,60.762249939101494,-29.02462995336014,3.1980131546895527,-1.5276121028084286,1.0,3.5441341501436168,slow_b_nonthermal
16_LTAN06_800km_1213COLD_PY_STTLCT_HEAT_PY_0p5,PY,"('PY', 0, 0)",1,100,115.68706509745338,-44.23846056851735,123.8569272359632,101.68522217917871,-44.38401347172873,8.549866953593696,-3.8636128118467825,1.0,5.839455316848687,slow_b_nonthermal
16_LTAN06_800km_1213COLD_PY_STTLCT_HEAT_PY_0p5,PY,"('PY', 0, 0)",2,100,-10.52784437261846,17.76347624092936,20.648888476044807,92.60038020862476,-35.414691826589134,13.423571175100264,-5.727543960614632,1.0,5.217972035770024,slow_b_nonthermal
