unix_time_s,elapsed_time_s,utc,tle_age_days,partner_range_m,isl_angle_x_urad_legacy,isl_angle_y_urad_legacy,isl_angle_norm_urad_legacy,stt_los_angle_x_urad,stt_los_angle_y_urad,stt_los_angle_norm_urad,align_sun_dot,align_vel_dot,align_nadir_dot
1781393022.0,1440.0,2026-06-13T23:23:42+00:00,0.0359259259259259,800000.0,3.2972629785949783,21.541854444671987,21.79273814979309,21.662653917257746,-2.3775746731838265,21.7927381497931,0.8205343614855286,1.0,0.9958971518225705
1781393082.0,1500.0,2026-06-13T23:24:42+00:00,0.0366203703703703,800000.0,3.147529364341,21.561694039117604,21.790217780827902,21.522266912364767,-3.4067019078336336,21.790217780827906,0.8249372361713332,1.0,0.9915656911591944
1781393142.0,1560.0,2026-06-13T23:25:42+00:00,0.0373148148148148,800000.0,13.697559065841364,-16.9441850002706,21.78826587146412,21.338723250550842,-4.40311477502107,21.788265871464116,0.8307975892015509,1.0000000000000002,0.9858753928962292
1781393202.0,1620.0,2026-06-13T23:26:42+00:00,0.0380092592592592,800000.0,12.11425856190763,-18.107835211138607,21.786439739858906,21.117031052408475,-5.359100304166743,21.786439739858917,0.8379917870459355,1.0,0.9790080321871778
1781393262.0,1680.0,2026-06-13T23:27:42+00:00,0.0387037037037037,800000.0,10.865460157020712,-18.882018636709866,21.78506029876583,20.863753206758652,-6.268385306307466,21.78506029876583,0.8463719629478721,1.0,0.9711702884899774
1781393322.0,1740.0,2026-06-13T23:28:42+00:00,0.0393981481481481,800000.0,9.88123800205039,-19.41383981021089,21.783848159351784,20.5853074842201,-7.126089840144197,21.78384815935179,0.8557709417842891,1.0,0.962581722682832
1781393382.0,1800.0,2026-06-13T23:29:42+00:00,0.0400925925925925,800000.0,9.101091290376132,-19.790704570504744,21.78306337668689,20.288744984164612,-7.928977048793462,21.783063376686904,0.866007324303508,1.0000000000000002,0.9534637162922894
1781393442.0,1860.0,2026-06-13T23:30:42+00:00,0.040787037037037,800000.0,8.477731800149519,-20.065013548662048,21.7824862029856,19.980525226771103,-8.674982238922556,21.782486202985606,0.876890459687021,1.0,0.9440302039646203
1781393502.0,1920.0,2026-06-13T23:31:42+00:00,0.0414814814814814,800000.0,7.975731794737944,-20.26937923956202,21.782103489304735,19.666935753901793,-9.363315143189512,21.782103489304763,0.8882250746789108,1.0,0.9344806387352456
1781393562.0,1980.0,2026-06-13T23:32:42+00:00,0.0421759259259259,800000.0,7.568622906450971,-20.42476149943881,21.781986479864784,19.353867544747317,-9.994135583900642,21.78198647986479,0.8998154009817368,1.0,0.924995271513
